index	segment
0.0	5e-05:5.3
1.0	5.3:5.333049999999999
2.0	5.333049999999999:6.9
3.0	6.9:6.93305
4.0	6.93305:7.567
5.0	7.567:9.2
6.0	9.2:9.233049999999999
7.0	9.233049999999999:10.732999999999999
8.0	10.732999999999999:11.40005
9.0	11.40005:11.767050000000001
10.0	11.767050000000001:13.267000000000001
11.0	13.267000000000001:15.6
12.0	15.6:15.633049999999999
13.0	15.633049999999999:19.733
14.0	19.733:20.133
15.0	20.133:20.20005
16.0	20.20005:21.833000000000002
17.0	21.833000000000002:21.86705
18.0	21.86705:23.666999999999998
19.0	23.666999999999998:23.70005
20.0	23.70005:23.833050000000004
21.0	23.833050000000004:24.733
22.0	24.733:24.76705
23.0	24.76705:26.0
24.0	26.0:27.033
25.0	27.033:27.06705
26.0	27.06705:27.833000000000002
27.0	27.833000000000002:28.50005
28.0	28.50005:30.20005
29.0	30.20005:31.467
30.0	31.467:32.333
31.0	32.333:32.36705
32.0	32.36705:34.533
33.0	34.533:34.56705
34.0	34.56705:35.766999999999996
35.0	35.766999999999996:35.80005
36.0	35.80005:37.233000000000004
37.0	37.233000000000004:37.26705
38.0	37.26705:40.10005
39.0	40.10005:40.667
40.0	40.667:40.700050000000005
41.0	40.700050000000005:42.5
42.0	42.5:42.53305
43.0	42.53305:43.43305
44.0	43.43305:43.467
45.0	43.467:43.766999999999996
46.0	43.766999999999996:43.80005
47.0	43.80005:45.967
48.0	45.967:46.00005
49.0	46.00005:46.06705
50.0	46.06705:46.867
51.0	46.867:48.60005
52.0	48.60005:48.8
53.0	48.8:50.2
54.0	50.2:50.233050000000006
55.0	50.233050000000006:52.033
56.0	52.033:52.06705
57.0	52.06705:55.9
58.0	55.9:57.33305
59.0	57.33305:58.567
60.0	58.567:58.96705
61.0	58.96705:59.266999999999996
62.0	59.266999999999996:59.30005
63.0	59.30005:60.533
64.0	60.533:61.03305
65.0	61.03305:62.233000000000004
66.0	62.233000000000004:62.50005
67.0	62.50005:65.867
68.0	65.867:66.16705
69.0	66.16705:66.36705
70.0	66.36705:67.133
71.0	67.133:67.20005
72.0	67.20005:68.233
73.0	68.233:68.26705
74.0	68.26705:73.667
75.0	73.667:73.70005
76.0	73.70005:78.633
77.0	78.633:78.66705
78.0	78.66705:82.23299999999999
79.0	82.23299999999999:82.26705000000001
80.0	82.26705000000001:83.26700000000001
81.0	83.26700000000001:83.36705
82.0	83.36705:83.633
