person	segment
0	[[0.0, 5.3], [6.933, 9.2], [15.633, 20.133], [24.767, 26.0], [32.367, 34.533], [37.266999999999996, 40.667], [42.533, 43.766999999999996]]
1	[[0.0, 5.3], [5.332999999999999, 6.9], [6.933, 9.2], [15.633, 19.733], [21.866999999999997, 23.666999999999998], [24.767, 27.033], [28.5, 31.467], [35.8, 37.233000000000004], [40.1, 40.667], [42.533, 43.467], [43.433, 43.766999999999996], [46.0, 48.8], [46.067, 46.867], [48.6, 50.2], [52.067, 58.567], [58.967, 59.266999999999996], [61.033, 62.233000000000004], [66.367, 67.133], [68.267, 73.667], [78.667, 82.23299999999999]]
3	[[6.933, 7.567], [9.232999999999999, 10.732999999999999], [11.4, 13.267000000000001], [20.2, 21.833000000000002], [23.833000000000002, 24.733], [27.066999999999997, 27.833000000000002], [34.567, 35.766999999999996], [40.7, 42.5], [43.8, 45.967], [50.233000000000004, 52.033], [59.3, 60.533], [67.2, 68.233], [73.7, 78.633], [82.26700000000001, 83.26700000000001], [83.367, 83.633]]
4	[[11.767000000000001, 15.6], [20.2, 21.833000000000002], [23.7, 24.733], [27.066999999999997, 27.833000000000002], [30.2, 32.333], [35.8, 37.233000000000004], [46.0, 50.2], [52.067, 55.9], [57.333, 59.266999999999996], [62.5, 65.867], [66.167, 67.133], [68.267, 73.667]]
5	[[68.267, 73.667], [78.667, 82.23299999999999]]
