index	segment
0.0	1.56705:3.833
1.0	3.833:3.86705
2.0	3.86705:5.167000000000001
3.0	5.167000000000001:5.20005
4.0	5.20005:7.1
5.0	7.1:7.133049999999999
6.0	7.133049999999999:8.1
7.0	8.1:8.133049999999999
8.0	8.133049999999999:8.732999999999999
9.0	8.732999999999999:9.867
10.0	9.867:9.90005
11.0	9.90005:10.66705
12.0	10.66705:10.9
13.0	10.9:11.232999999999999
14.0	11.232999999999999:11.267050000000001
15.0	11.267050000000001:11.90005
16.0	11.90005:12.9
17.0	12.9:13.467
18.0	13.467:13.50005
19.0	13.50005:14.267000000000001
20.0	14.267000000000001:18.33305
21.0	18.33305:18.50005
22.0	18.50005:19.433
23.0	19.433:26.66705
24.0	26.66705:27.300050000000002
25.0	27.300050000000002:27.333000000000002
26.0	27.333000000000002:28.16705
27.0	28.16705:28.3
28.0	28.3:28.6
29.0	28.6:31.533050000000003
30.0	31.533050000000003:33.0
31.0	33.0:33.03305
32.0	33.03305:33.967
33.0	33.967:37.16705
34.0	37.16705:38.433
35.0	38.433:39.233050000000006
36.0	39.233050000000006:46.0
37.0	46.0:47.733050000000006
38.0	47.733050000000006:51.5
39.0	51.5:52.26705
40.0	52.26705:53.333
41.0	53.333:53.36705
42.0	53.36705:53.567
43.0	53.567:56.200050000000005
44.0	56.200050000000005:57.2
45.0	57.2:57.233050000000006
46.0	57.233050000000006:58.367
47.0	58.367:58.733050000000006
48.0	58.733050000000006:59.367
49.0	59.367:59.40005
50.0	59.40005:60.933
51.0	60.933:60.96705
52.0	60.96705:62.433
53.0	62.433:62.50005
54.0	62.50005:66.167
55.0	66.167:66.20005
56.0	66.20005:68.10005
57.0	68.10005:68.3
58.0	68.3:68.73305
59.0	68.73305:69.3
60.0	69.3:70.933
61.0	70.933:70.96705
62.0	70.96705:71.6
63.0	71.6:73.233
64.0	73.233:73.26705
65.0	73.26705:75.80005
66.0	75.80005:77.433
67.0	77.433:79.633
68.0	79.633:79.66705
69.0	79.66705:83.76700000000001
70.0	83.76700000000001:84.167
71.0	84.167:84.23304999999999
72.0	84.23304999999999:85.867
73.0	85.867:85.90005000000001
74.0	85.90005000000001:86.03304999999999
75.0	86.03304999999999:86.06700000000001
76.0	86.06700000000001:87.7
77.0	87.7:87.73304999999999
78.0	87.73304999999999:87.86705
79.0	87.86705:88.76700000000001
80.0	88.76700000000001:88.80005
81.0	88.80005:90.0
82.0	90.0:91.06700000000001
83.0	91.06700000000001:91.10005
84.0	91.10005:91.867
85.0	91.867:92.06705000000001
86.0	92.06705000000001:92.5
87.0	92.5:92.53304999999999
88.0	92.53304999999999:94.43305
89.0	94.43305:95.46700000000001
90.0	95.46700000000001:96.367
91.0	96.367:96.40005000000001
92.0	96.40005000000001:98.56700000000001
93.0	98.56700000000001:98.60005
94.0	98.60005:99.8
95.0	99.8:99.83305
96.0	99.83305:101.2
97.0	101.2:101.26700000000001
98.0	101.26700000000001:101.30005
99.0	101.30005:104.13305
100.0	104.13305:104.7
101.0	104.7:104.73304999999999
102.0	104.73304999999999:106.53299999999999
103.0	106.53299999999999:106.56705000000001
104.0	106.56705000000001:107.03304999999999
105.0	107.03304999999999:107.167
106.0	107.167:107.633
107.0	107.633:107.8
108.0	107.8:107.83305
109.0	107.83305:110.0
110.0	110.0:110.03304999999999
111.0	110.03304999999999:110.86705
112.0	110.86705:110.93299999999999
113.0	110.93299999999999:112.63305
114.0	112.63305:112.667
115.0	112.667:114.23299999999999
116.0	114.23299999999999:114.26705000000001
117.0	114.26705000000001:116.06700000000001
118.0	116.06700000000001:116.10005
119.0	116.10005:119.93299999999999
120.0	119.93299999999999:121.23304999999999
121.0	121.23304999999999:122.9
122.0	122.9:123.00005
123.0	123.00005:123.1
124.0	123.1:123.3
125.0	123.3:123.33305
126.0	123.33305:124.56700000000001
127.0	124.56700000000001:125.06705000000001
128.0	125.06705000000001:126.26700000000001
129.0	126.26700000000001:126.56705000000001
130.0	126.56705000000001:129.9
131.0	129.9:130.20004999999998
132.0	130.20004999999998:130.36705
133.0	130.36705:131.167
134.0	131.167:131.23305
135.0	131.23305:132.267
136.0	132.267:132.30005
137.0	132.30005:137.7
138.0	137.7:137.73305
139.0	137.73305:142.667
140.0	142.667:142.70004999999998
141.0	142.70004999999998:146.267
142.0	146.267:146.30005
143.0	146.30005:147.333
144.0	147.333:147.56705
145.0	147.56705:151.267
146.0	151.267:151.30005
147.0	151.30005:153.667
148.0	153.667:153.96705
149.0	153.96705:159.933
150.0	159.933:159.96705
151.0	159.96705:164.6
152.0	164.6:164.63304999999997
153.0	164.63304999999997:167.933
154.0	167.933:167.96705
155.0	167.96705:172.233
156.0	172.233:172.26704999999998
157.0	172.26704999999998:172.567
158.0	172.567:172.7
159.0	172.7:173.63304999999997
160.0	173.63304999999997:173.76704999999998
161.0	173.76704999999998:174.7
162.0	174.7:175.967
163.0	175.967:176.00005
164.0	176.00005:182.36700000000002
165.0	182.36700000000002:182.40005
166.0	182.40005:185.467
167.0	185.467:185.50005
168.0	185.50005:185.833
169.0	185.833:185.86705
170.0	185.86705:186.4
171.0	186.4:189.63304999999997
172.0	189.63304999999997:190.36700000000002
173.0	190.36700000000002:190.90005
174.0	190.90005:191.933
175.0	191.933:192.20004999999998
176.0	192.20004999999998:193.2
177.0	193.2:197.50005
178.0	197.50005:197.60004999999998
179.0	197.60004999999998:199.667
180.0	199.667:200.3
181.0	200.3:204.06705
182.0	204.06705:204.933
183.0	204.933:209.23305
184.0	209.23305:210.333
185.0	210.333:210.40005
186.0	210.40005:211.733
187.0	211.733:211.83305
188.0	211.83305:212.8
189.0	212.8:212.83305
190.0	212.83305:215.067
191.0	215.067:215.10004999999998
192.0	215.10004999999998:215.83305
193.0	215.83305:216.13299999999998
194.0	216.13299999999998:217.86705
195.0	217.86705:218.13299999999998
196.0	218.13299999999998:223.7
197.0	223.7:223.73305
198.0	223.73305:227.63299999999998
199.0	227.63299999999998:227.73305
