index	segment
200.0	227.73305:228.1
201.0	228.1:228.63304999999997
202.0	228.63304999999997:229.63304999999997
203.0	229.63304999999997:229.967
204.0	229.967:235.433
205.0	235.433:235.46705
206.0	235.46705:239.23305
207.0	239.23305:239.3
208.0	239.3:239.7
209.0	239.7:239.73305
210.0	239.73305:240.733
211.0	240.733:241.23305
212.0	241.23305:248.767
213.0	248.767:248.80005
214.0	248.80005:251.033
215.0	251.033:252.13299999999998
216.0	252.13299999999998:252.16705
217.0	252.16705:255.43304999999998
218.0	255.43304999999998:257.933
219.0	257.933:257.96705
220.0	257.96705:259.5
221.0	259.5:259.53305
222.0	259.53305:263.2
223.0	263.2:264.46705
224.0	264.46705:269.867
225.0	269.867:269.90004999999996
226.0	269.90004999999996:270.2
227.0	270.2:271.233
228.0	271.233:271.733
229.0	271.733:271.76705
230.0	271.76705:274.9
231.0	274.9:274.93305
232.0	274.93305:275.23305
233.0	275.23305:275.367
234.0	275.367:275.36705
235.0	275.36705:275.86705
236.0	275.86705:276.2
237.0	276.2:277.9
238.0	277.9:277.93305
239.0	277.93305:278.40004999999996
240.0	278.40004999999996:279.567
241.0	279.567:279.60005
242.0	279.60005:282.50005
243.0	282.50005:282.66700000000003
244.0	282.66700000000003:284.8
245.0	284.8:285.70005
246.0	285.70005:288.633
247.0	288.633:290.33304999999996
248.0	290.33304999999996:296.5
249.0	296.5:298.46705
250.0	298.46705:301.067
251.0	301.067:301.10005
252.0	301.10005:303.867
253.0	303.867:305.76705
254.0	305.76705:307.8
255.0	307.8:310.267
256.0	310.267:310.76705
257.0	310.76705:312.16700000000003
258.0	312.16700000000003:312.70005
259.0	312.70005:315.233
260.0	315.233:315.36705
261.0	315.36705:317.66700000000003
262.0	317.66700000000003:319.13304999999997
263.0	319.13304999999997:322.0
264.0	322.0:322.03305
265.0	322.03305:324.033
266.0	324.033:327.33304999999996
267.0	327.33304999999996:328.43300000000005
268.0	328.43300000000005:328.83305
269.0	328.83305:329.733
270.0	329.733:329.96705
271.0	329.96705:338.833
272.0	338.833:339.63305
273.0	339.63305:340.73305
274.0	340.73305:340.9
275.0	340.9:341.333
276.0	341.333:341.46705
277.0	341.46705:343.86699999999996
278.0	343.86699999999996:344.40004999999996
279.0	344.40004999999996:345.86699999999996
280.0	345.86699999999996:345.90004999999996
281.0	345.90004999999996:354.667
282.0	354.667:354.73305
283.0	354.73305:363.63300000000004
284.0	363.63300000000004:363.66704999999996
285.0	363.66704999999996:363.76705
286.0	363.76705:365.667
287.0	365.667:365.70005
288.0	365.70005:366.53305
289.0	366.53305:367.1
290.0	367.1:367.56699999999995
291.0	367.56699999999995:368.26705
292.0	368.26705:369.7
293.0	369.7:370.00005
294.0	370.00005:373.73305
295.0	373.73305:373.767
296.0	373.767:374.1
297.0	374.1:374.73305
298.0	374.73305:374.83305
299.0	374.83305:383.73305
300.0	383.73305:383.86699999999996
301.0	383.86699999999996:385.8
302.0	385.8:385.93305000000004
303.0	385.93305000000004:386.13300000000004
304.0	386.13300000000004:388.33305
305.0	388.33305:389.63300000000004
306.0	389.63300000000004:390.60005
307.0	390.60005:391.233
308.0	391.233:391.3
309.0	391.3:391.33305
310.0	391.33305:392.63300000000004
311.0	392.63300000000004:392.66704999999996
312.0	392.66704999999996:395.2
313.0	395.2:397.20005
314.0	397.20005:400.23305
315.0	400.23305:400.3
316.0	400.3:402.20005
317.0	402.20005:402.267
318.0	402.267:406.80005
319.0	406.80005:406.833
320.0	406.833:409.233
321.0	409.233:409.26705
322.0	409.26705:410.1
323.0	410.1:410.80005
324.0	410.80005:410.86699999999996
325.0	410.86699999999996:411.16704999999996
326.0	411.16704999999996:411.533
327.0	411.533:411.83305
328.0	411.83305:413.36699999999996
329.0	413.36699999999996:413.40004999999996
330.0	413.40004999999996:413.533
331.0	413.533:413.76705
332.0	413.76705:414.8
333.0	414.8:415.33305
334.0	415.33305:417.233
335.0	417.233:417.767
336.0	417.767:418.06704999999994
337.0	418.06704999999994:419.667
338.0	419.667:420.36704999999995
339.0	420.36704999999995:421.9
340.0	421.9:421.93305000000004
341.0	421.93305000000004:425.06704999999994
342.0	425.06704999999994:426.06699999999995
343.0	426.06699999999995:426.10005
344.0	426.10005:430.36699999999996
345.0	430.36699999999996:430.76705
346.0	430.76705:432.0
347.0	432.0:432.03305
348.0	432.03305:434.56704999999994
349.0	434.56704999999994:434.667
350.0	434.667:437.43300000000005
351.0	437.43300000000005:437.46705
352.0	437.46705:441.63300000000004
353.0	441.63300000000004:442.233
354.0	442.233:443.33305
355.0	443.33305:444.16704999999996
356.0	444.16704999999996:444.70005
357.0	444.70005:445.333
358.0	445.333:445.43305000000004
359.0	445.43305000000004:445.533
360.0	445.533:446.333
361.0	446.333:447.76705
362.0	447.76705:452.7
363.0	452.7:452.73305
364.0	452.73305:455.533
365.0	455.533:455.56704999999994
366.0	455.56704999999994:456.16704999999996
367.0	456.16704999999996:456.233
368.0	456.233:458.93305000000004
369.0	458.93305000000004:461.833
370.0	461.833:461.86704999999995
371.0	461.86704999999995:462.0
