person_label	Embeddings
0	[-0.07406685501337051, 0.1996869593858719, 0.176689013838768, -0.17297345399856567, -0.1556209772825241, -0.01950724981725216, -0.0287562757730484, -0.07167083024978638, 0.2621372640132904, -0.13136796653270721, 0.17794229090213776, 0.06514304131269455, -0.27644476294517517, 0.0731579065322876, 0.013347186148166656, 0.16043759882450104, -0.14030492305755615, -0.21867190301418304, -0.112690769135952, -0.0126353669911623, 0.008979455567896366, 0.08441779762506485, 0.016838187351822853, 0.054006002843379974, -0.07027149200439453, -0.31329667568206787, -0.08672895282506943, -0.05539412423968315, 0.018018566071987152, -0.09305814653635025, 0.06707463413476944, 0.01168486662209034, -0.17521020770072937, -0.008712437935173512, 0.017717555165290833, 0.07951267808675766, -0.11682432144880295, -0.16185429692268372, 0.14845050871372223, 0.00013076892355456948, -0.3033190667629242, -0.03371594101190567, 0.05639151111245155, 0.22745729982852936, 0.2960216999053955, -0.011770595796406269, 0.08563289791345596, -0.12202055752277374, 0.1434614360332489, -0.29301294684410095, 0.10903481394052505, 0.12905365228652954, 0.03807419538497925, 0.07943353801965714, 0.18297059834003448, -0.21035844087600708, 0.012797377072274685, 0.18038888275623322, -0.17513184249401093, 0.08295987546443939, 0.16582351922988892, -0.06453777104616165, 0.008126628585159779, -0.06326085329055786, 0.27699586749076843, 0.08025111258029938, -0.2034597247838974, -0.12477568536996841, 0.22739717364311218, -0.12062063813209534, -0.06023746728897095, 0.15331611037254333, -0.1574813425540924, -0.15060476958751678, -0.2107134610414505, 0.07011157274246216, 0.4197861850261688, 0.109952412545681, -0.0705450028181076, 0.03130487725138664, -0.0741410031914711, 0.04521942511200905, -0.06298141181468964, 0.13468721508979797, -0.0768977478146553, -0.04366552457213402, -0.09438405930995941, 0.059830695390701294, 0.2523956894874573, 0.018957555294036865, -0.016912611201405525, 0.2940267026424408, -0.04707223176956177, -0.04911480098962784, -0.018258458003401756, 0.11714540421962738, -0.1042611226439476, -0.019151723012328148, -0.17298881709575653, -0.030564958229660988, 0.022418759763240814, -0.06380229443311691, -0.06779640913009644, 0.13589389622211456, -0.1413559764623642, 0.11340254545211792, -0.04657028615474701, 0.05410699546337128, -0.05647160857915878, -0.05072440579533577, -0.10620935261249542, -0.0013797585852444172, 0.17137186229228973, -0.2395237535238266, 0.2453918308019638, 0.09732402861118317, 0.04321359470486641, 0.06281284987926483, 0.08461476862430573, 0.04860982298851013, 0.07038939744234085, -0.14752086997032166, -0.15023387968540192, -0.05998539179563522, 0.07281013578176498, -0.026957383379340172, 0.07959327101707458, 0.07173915207386017]
1	[-0.11000438034534454, 0.1329108327627182, 0.10929852724075317, -0.09376788139343262, -0.11546643078327179, 0.047073230147361755, -0.024458177387714386, -0.060224827378988266, 0.24217839539051056, -0.03187202289700508, 0.22803620994091034, 0.0030352387111634016, -0.26133182644844055, 0.013200138695538044, 0.03812897577881813, 0.1888538897037506, -0.18793010711669922, -0.10162055492401123, -0.1312941163778305, -0.04725990444421768, -0.04506314918398857, 0.04291776195168495, 0.04913482069969177, 0.06707912683486938, -0.2379034459590912, -0.33431413769721985, -0.013119081035256386, -0.09728462994098663, 0.027654200792312622, -0.10077890753746033, 0.05449104681611061, 0.05144963413476944, -0.18232466280460358, -0.009924227371811867, 0.06295076757669449, 0.09433569759130478, -0.05485546216368675, -0.08885093033313751, 0.15487688779830933, -0.06491594761610031, -0.2660406827926636, -0.03535643592476845, 0.12136305868625641, 0.22020506858825684, 0.24480286240577698, 0.04337926208972931, 0.07887676358222961, -0.08663692325353622, 0.10165676474571228, -0.401332288980484, 0.0854165256023407, 0.10501733422279358, -0.03821944072842598, 0.07644419372081757, 0.1177791878581047, -0.1832912564277649, -0.019488302990794182, 0.15404069423675537, -0.18073217570781708, 0.09579934179782867, 0.14296571910381317, -0.023601438850164413, -0.016354387626051903, -0.03223005682229996, 0.2805909812450409, 0.12099803984165192, -0.19762927293777466, -0.18128255009651184, 0.0867355465888977, -0.20389415323734283, -0.03491485118865967, 0.14576080441474915, -0.058393850922584534, -0.22112445533275604, -0.31204953789711, 0.0357985757291317, 0.35079827904701233, 0.1819792240858078, -0.15819920599460602, 0.05040441453456879, -0.14632616937160492, 0.02683371677994728, 0.0036882120184600353, 0.08054771274328232, 0.02350945584475994, -0.0387067049741745, -0.10348565131425858, -0.006842668633908033, 0.3026910424232483, -0.04040733724832535, 0.06162396818399429, 0.36321476101875305, 0.01667744480073452, -0.0947987362742424, -0.08104206621646881, 0.11242746561765671, -0.1758253425359726, -0.02981913834810257, -0.11241403967142105, -0.06753457337617874, 0.07447241991758347, 0.07298090308904648, 0.05845002084970474, 0.11771851778030396, -0.2617745101451874, 0.22389601171016693, -0.06965380907058716, 0.017038017511367798, 0.08102097362279892, -0.01828387752175331, -0.06843151152133942, -0.07207776606082916, 0.20260167121887207, -0.31255048513412476, 0.19754540920257568, 0.15065400302410126, 0.04663650691509247, 0.11002624779939651, 0.08862524479627609, 0.0695105716586113, 0.06336817145347595, 0.010723835788667202, -0.08957475423812866, -0.05462948977947235, 0.013150491751730442, -0.11992195248603821, 0.013055042363703251, 0.04696144536137581]
2	[-0.10004331916570663, 0.11248254030942917, 0.03154298663139343, -0.14348503947257996, -0.1963803470134735, 0.039934586733579636, -0.02611088566482067, -0.06557061523199081, 0.2165285050868988, -0.18046915531158447, 0.11754827201366425, -0.08083301782608032, -0.22012995183467865, 0.0435037836432457, -0.07328090071678162, 0.25710153579711914, -0.1676291674375534, -0.2047208696603775, -0.1229812353849411, -0.10166287422180176, -0.06956753134727478, 0.16995131969451904, -0.02406787872314453, 0.0647922158241272, -0.11759429425001144, -0.26777589321136475, -0.033681370317935944, -0.10125649720430374, 0.036811262369155884, -0.11878807842731476, -0.008841145783662796, 0.13444186747074127, -0.09940320998430252, 0.03986170515418053, 0.09789875894784927, 0.137762188911438, -0.08941754698753357, -0.15646779537200928, 0.1441512405872345, 0.041677676141262054, -0.1697043925523758, -0.0568816103041172, 0.024575231596827507, 0.2860642075538635, 0.2244701236486435, -0.023993469774723053, -0.0012802629498764873, -0.11229931563138962, 0.13460060954093933, -0.30344507098197937, 0.022356702014803886, 0.10629869997501373, -0.031095048412680626, 0.11929631233215332, 0.03050963394343853, -0.19736333191394806, 0.03184406831860542, 0.1670030951499939, -0.20341995358467102, 0.048714783042669296, 0.07183630019426346, -0.15019084513187408, -0.06315530836582184, -0.08140112459659576, 0.22611548006534576, 0.10490921884775162, -0.14041653275489807, -0.21684874594211578, 0.18367712199687958, -0.19636274874210358, -0.07410350441932678, 0.032538965344429016, -0.1115131825208664, -0.14033661782741547, -0.19848455488681793, 0.016077691689133644, 0.2972279489040375, 0.18244428932666779, -0.0621463917195797, 0.04961550980806351, 0.0111073674634099, -0.005772909615188837, -0.043200407177209854, 0.143194317817688, -0.05945852771401405, -0.10700052976608276, -0.05193115770816803, 0.03085017204284668, 0.2154211401939392, -0.08280240744352341, 0.0039060190320014954, 0.26925063133239746, -0.06682169437408447, -0.03894123062491417, -0.050417546182870865, 0.021421944722533226, -0.13312721252441406, 0.05226190388202667, -0.0272982157766819, -0.028171926736831665, 0.06845541298389435, -0.07836804538965225, 0.014365899376571178, 0.15373894572257996, -0.14791540801525116, 0.19796307384967804, -0.11777282506227493, 0.03749377280473709, 0.003880881704390049, -0.0778297632932663, -0.07974853366613388, -0.013191928155720234, 0.23786111176013947, -0.17669403553009033, 0.19627651572227478, 0.1878090500831604, 0.09807968884706497, 0.1658904254436493, 0.11351695656776428, 0.07371162623167038, 0.07285122573375702, -0.02083730511367321, -0.21619634330272675, -0.04629816487431526, 0.07944967597723007, -0.04018523544073105, -0.03560939431190491, 0.0835660845041275]
3	[-0.03297000005841255, 0.07327999919652939, 0.06395000219345093, -0.0006500000017695129, -0.11055000126361847, -0.05892999842762947, -0.03942999988794327, -0.012919999659061432, 0.15185999870300293, -0.09698999673128128, 0.2108200043439865, -0.034609999507665634, -0.22224000096321106, -0.04385000094771385, -0.026079999282956123, 0.13165000081062317, -0.13413000106811523, -0.08793000131845474, -0.14591999351978302, -0.12594999372959137, -0.02507000043988228, -0.012860000133514404, 0.032280001789331436, 0.001290000043809414, -0.1442900002002716, -0.25435999035835266, -0.07072000205516815, -0.0916299968957901, 0.10018999874591827, -0.14760999381542206, 0.024119999259710312, 0.04816000163555145, -0.18276000022888184, -0.02718999981880188, 0.008659999817609787, 0.025919999927282333, -0.033959999680519104, -0.04343000054359436, 0.1971299946308136, -0.03587000072002411, -0.1690800040960312, 0.020509999245405197, 0.010180000215768814, 0.23103000223636627, 0.230320006608963, -0.010710000060498714, -0.009840000420808792, -0.09994000196456909, 0.09414999932050705, -0.262470006942749, -0.017589999362826347, 0.18558000028133392, 0.05167999863624573, 0.09985999763011932, 0.06735000014305115, -0.10208000242710114, 0.007110000122338533, 0.16053999960422516, -0.119159996509552, 0.04303999990224838, 0.029850000515580177, -0.033410001546144485, -0.04950999841094017, -0.08315999805927277, 0.16493000090122223, 0.03626000136137009, -0.11421000212430954, -0.14488999545574188, 0.1775600016117096, -0.19169999659061432, 0.0002099999983329326, 0.1393200010061264, -0.0926700010895729, -0.179749995470047, -0.26096999645233154, 0.05285999923944473, 0.3848100006580353, 0.20879000425338745, -0.14052000641822815, 0.005640000104904175, -0.10749000310897827, -0.03589000180363655, -0.02531999908387661, 0.02271999977529049, -0.11210999637842178, -0.04224000126123428, -0.063230000436306, 0.09188000112771988, 0.1876000016927719, -0.06106000021100044, 0.03590000048279762, 0.20087000727653503, 0.017330000177025795, 0.037050001323223114, -0.05446000024676323, -0.013269999995827675, -0.11142999678850174, -0.028429999947547913, -0.13006000220775604, -0.031190000474452972, 0.06392999738454819, -0.09358999878168106, 0.04225999861955643, 0.1288599967956543, -0.14313000440597534, 0.14318999648094177, -0.013559999875724316, -0.04529999941587448, 0.00431999983265996, 0.09358999878168106, -0.051419999450445175, -0.03556999936699867, 0.1939699947834015, -0.20497000217437744, 0.21751999855041504, 0.2176699936389923, 0.0652099996805191, 0.06367000192403793, 0.07744000107049942, 0.0908999964594841, -0.03988000005483627, -0.027739999815821648, -0.10057999938726425, -0.05031000077724457, -0.02718999981880188, -0.05378999933600426, -0.0006500000017695129, -0.0063299997709691525]
4	[-0.10004331916570663, 0.11248254030942917, 0.03154298663139343, -0.14348503947257996, -0.1963803470134735, 0.039934586733579636, -0.02611088566482067, -0.06557061523199081, 0.2165285050868988, -0.18046915531158447, 0.11754827201366425, -0.08083301782608032, -0.22012995183467865, 0.0435037836432457, -0.07328090071678162, 0.25710153579711914, -0.1676291674375534, -0.2047208696603775, -0.1229812353849411, -0.10166287422180176, -0.06956753134727478, 0.16995131969451904, -0.02406787872314453, 0.0647922158241272, -0.11759429425001144, -0.26777589321136475, -0.033681370317935944, -0.10125649720430374, 0.036811262369155884, -0.11878807842731476, -0.008841145783662796, 0.13444186747074127, -0.09940320998430252, 0.03986170515418053, 0.09789875894784927, 0.137762188911438, -0.08941754698753357, -0.15646779537200928, 0.1441512405872345, 0.041677676141262054, -0.1697043925523758, -0.0568816103041172, 0.024575231596827507, 0.2860642075538635, 0.2244701236486435, -0.023993469774723053, -0.0012802629498764873, -0.11229931563138962, 0.13460060954093933, -0.30344507098197937, 0.022356702014803886, 0.10629869997501373, -0.031095048412680626, 0.11929631233215332, 0.03050963394343853, -0.19736333191394806, 0.03184406831860542, 0.1670030951499939, -0.20341995358467102, 0.048714783042669296, 0.07183630019426346, -0.15019084513187408, -0.06315530836582184, -0.08140112459659576, 0.22611548006534576, 0.10490921884775162, -0.14041653275489807, -0.21684874594211578, 0.18367712199687958, -0.19636274874210358, -0.07410350441932678, 0.032538965344429016, -0.1115131825208664, -0.14033661782741547, -0.19848455488681793, 0.016077691689133644, 0.2972279489040375, 0.18244428932666779, -0.0621463917195797, 0.04961550980806351, 0.0111073674634099, -0.005772909615188837, -0.043200407177209854, 0.143194317817688, -0.05945852771401405, -0.10700052976608276, -0.05193115770816803, 0.03085017204284668, 0.2154211401939392, -0.08280240744352341, 0.0039060190320014954, 0.26925063133239746, -0.06682169437408447, -0.03894123062491417, -0.050417546182870865, 0.021421944722533226, -0.13312721252441406, 0.05226190388202667, -0.0272982157766819, -0.028171926736831665, 0.06845541298389435, -0.07836804538965225, 0.014365899376571178, 0.15373894572257996, -0.14791540801525116, 0.19796307384967804, -0.11777282506227493, 0.03749377280473709, 0.003880881704390049, -0.0778297632932663, -0.07974853366613388, -0.013191928155720234, 0.23786111176013947, -0.17669403553009033, 0.19627651572227478, 0.1878090500831604, 0.09807968884706497, 0.1658904254436493, 0.11351695656776428, 0.07371162623167038, 0.07285122573375702, -0.02083730511367321, -0.21619634330272675, -0.04629816487431526, 0.07944967597723007, -0.04018523544073105, -0.03560939431190491, 0.0835660845041275]
5	[-0.11000438034534454, 0.1329108327627182, 0.10929852724075317, -0.09376788139343262, -0.11546643078327179, 0.047073230147361755, -0.024458177387714386, -0.060224827378988266, 0.24217839539051056, -0.03187202289700508, 0.22803620994091034, 0.0030352387111634016, -0.26133182644844055, 0.013200138695538044, 0.03812897577881813, 0.1888538897037506, -0.18793010711669922, -0.10162055492401123, -0.1312941163778305, -0.04725990444421768, -0.04506314918398857, 0.04291776195168495, 0.04913482069969177, 0.06707912683486938, -0.2379034459590912, -0.33431413769721985, -0.013119081035256386, -0.09728462994098663, 0.027654200792312622, -0.10077890753746033, 0.05449104681611061, 0.05144963413476944, -0.18232466280460358, -0.009924227371811867, 0.06295076757669449, 0.09433569759130478, -0.05485546216368675, -0.08885093033313751, 0.15487688779830933, -0.06491594761610031, -0.2660406827926636, -0.03535643592476845, 0.12136305868625641, 0.22020506858825684, 0.24480286240577698, 0.04337926208972931, 0.07887676358222961, -0.08663692325353622, 0.10165676474571228, -0.401332288980484, 0.0854165256023407, 0.10501733422279358, -0.03821944072842598, 0.07644419372081757, 0.1177791878581047, -0.1832912564277649, -0.019488302990794182, 0.15404069423675537, -0.18073217570781708, 0.09579934179782867, 0.14296571910381317, -0.023601438850164413, -0.016354387626051903, -0.03223005682229996, 0.2805909812450409, 0.12099803984165192, -0.19762927293777466, -0.18128255009651184, 0.0867355465888977, -0.20389415323734283, -0.03491485118865967, 0.14576080441474915, -0.058393850922584534, -0.22112445533275604, -0.31204953789711, 0.0357985757291317, 0.35079827904701233, 0.1819792240858078, -0.15819920599460602, 0.05040441453456879, -0.14632616937160492, 0.02683371677994728, 0.0036882120184600353, 0.08054771274328232, 0.02350945584475994, -0.0387067049741745, -0.10348565131425858, -0.006842668633908033, 0.3026910424232483, -0.04040733724832535, 0.06162396818399429, 0.36321476101875305, 0.01667744480073452, -0.0947987362742424, -0.08104206621646881, 0.11242746561765671, -0.1758253425359726, -0.02981913834810257, -0.11241403967142105, -0.06753457337617874, 0.07447241991758347, 0.07298090308904648, 0.05845002084970474, 0.11771851778030396, -0.2617745101451874, 0.22389601171016693, -0.06965380907058716, 0.017038017511367798, 0.08102097362279892, -0.01828387752175331, -0.06843151152133942, -0.07207776606082916, 0.20260167121887207, -0.31255048513412476, 0.19754540920257568, 0.15065400302410126, 0.04663650691509247, 0.11002624779939651, 0.08862524479627609, 0.0695105716586113, 0.06336817145347595, 0.010723835788667202, -0.08957475423812866, -0.05462948977947235, 0.013150491751730442, -0.11992195248603821, 0.013055042363703251, 0.04696144536137581]
6	[-0.07406685501337051, 0.1996869593858719, 0.176689013838768, -0.17297345399856567, -0.1556209772825241, -0.01950724981725216, -0.0287562757730484, -0.07167083024978638, 0.2621372640132904, -0.13136796653270721, 0.17794229090213776, 0.06514304131269455, -0.27644476294517517, 0.0731579065322876, 0.013347186148166656, 0.16043759882450104, -0.14030492305755615, -0.21867190301418304, -0.112690769135952, -0.0126353669911623, 0.008979455567896366, 0.08441779762506485, 0.016838187351822853, 0.054006002843379974, -0.07027149200439453, -0.31329667568206787, -0.08672895282506943, -0.05539412423968315, 0.018018566071987152, -0.09305814653635025, 0.06707463413476944, 0.01168486662209034, -0.17521020770072937, -0.008712437935173512, 0.017717555165290833, 0.07951267808675766, -0.11682432144880295, -0.16185429692268372, 0.14845050871372223, 0.00013076892355456948, -0.3033190667629242, -0.03371594101190567, 0.05639151111245155, 0.22745729982852936, 0.2960216999053955, -0.011770595796406269, 0.08563289791345596, -0.12202055752277374, 0.1434614360332489, -0.29301294684410095, 0.10903481394052505, 0.12905365228652954, 0.03807419538497925, 0.07943353801965714, 0.18297059834003448, -0.21035844087600708, 0.012797377072274685, 0.18038888275623322, -0.17513184249401093, 0.08295987546443939, 0.16582351922988892, -0.06453777104616165, 0.008126628585159779, -0.06326085329055786, 0.27699586749076843, 0.08025111258029938, -0.2034597247838974, -0.12477568536996841, 0.22739717364311218, -0.12062063813209534, -0.06023746728897095, 0.15331611037254333, -0.1574813425540924, -0.15060476958751678, -0.2107134610414505, 0.07011157274246216, 0.4197861850261688, 0.109952412545681, -0.0705450028181076, 0.03130487725138664, -0.0741410031914711, 0.04521942511200905, -0.06298141181468964, 0.13468721508979797, -0.0768977478146553, -0.04366552457213402, -0.09438405930995941, 0.059830695390701294, 0.2523956894874573, 0.018957555294036865, -0.016912611201405525, 0.2940267026424408, -0.04707223176956177, -0.04911480098962784, -0.018258458003401756, 0.11714540421962738, -0.1042611226439476, -0.019151723012328148, -0.17298881709575653, -0.030564958229660988, 0.022418759763240814, -0.06380229443311691, -0.06779640913009644, 0.13589389622211456, -0.1413559764623642, 0.11340254545211792, -0.04657028615474701, 0.05410699546337128, -0.05647160857915878, -0.05072440579533577, -0.10620935261249542, -0.0013797585852444172, 0.17137186229228973, -0.2395237535238266, 0.2453918308019638, 0.09732402861118317, 0.04321359470486641, 0.06281284987926483, 0.08461476862430573, 0.04860982298851013, 0.07038939744234085, -0.14752086997032166, -0.15023387968540192, -0.05998539179563522, 0.07281013578176498, -0.026957383379340172, 0.07959327101707458, 0.07173915207386017]
7	[-0.03297000005841255, 0.07327999919652939, 0.06395000219345093, -0.0006500000017695129, -0.11055000126361847, -0.05892999842762947, -0.03942999988794327, -0.012919999659061432, 0.15185999870300293, -0.09698999673128128, 0.2108200043439865, -0.034609999507665634, -0.22224000096321106, -0.04385000094771385, -0.026079999282956123, 0.13165000081062317, -0.13413000106811523, -0.08793000131845474, -0.14591999351978302, -0.12594999372959137, -0.02507000043988228, -0.012860000133514404, 0.032280001789331436, 0.001290000043809414, -0.1442900002002716, -0.25435999035835266, -0.07072000205516815, -0.0916299968957901, 0.10018999874591827, -0.14760999381542206, 0.024119999259710312, 0.04816000163555145, -0.18276000022888184, -0.02718999981880188, 0.008659999817609787, 0.025919999927282333, -0.033959999680519104, -0.04343000054359436, 0.1971299946308136, -0.03587000072002411, -0.1690800040960312, 0.020509999245405197, 0.010180000215768814, 0.23103000223636627, 0.230320006608963, -0.010710000060498714, -0.009840000420808792, -0.09994000196456909, 0.09414999932050705, -0.262470006942749, -0.017589999362826347, 0.18558000028133392, 0.05167999863624573, 0.09985999763011932, 0.06735000014305115, -0.10208000242710114, 0.007110000122338533, 0.16053999960422516, -0.119159996509552, 0.04303999990224838, 0.029850000515580177, -0.033410001546144485, -0.04950999841094017, -0.08315999805927277, 0.16493000090122223, 0.03626000136137009, -0.11421000212430954, -0.14488999545574188, 0.1775600016117096, -0.19169999659061432, 0.0002099999983329326, 0.1393200010061264, -0.0926700010895729, -0.179749995470047, -0.26096999645233154, 0.05285999923944473, 0.3848100006580353, 0.20879000425338745, -0.14052000641822815, 0.005640000104904175, -0.10749000310897827, -0.03589000180363655, -0.02531999908387661, 0.02271999977529049, -0.11210999637842178, -0.04224000126123428, -0.063230000436306, 0.09188000112771988, 0.1876000016927719, -0.06106000021100044, 0.03590000048279762, 0.20087000727653503, 0.017330000177025795, 0.037050001323223114, -0.05446000024676323, -0.013269999995827675, -0.11142999678850174, -0.028429999947547913, -0.13006000220775604, -0.031190000474452972, 0.06392999738454819, -0.09358999878168106, 0.04225999861955643, 0.1288599967956543, -0.14313000440597534, 0.14318999648094177, -0.013559999875724316, -0.04529999941587448, 0.00431999983265996, 0.09358999878168106, -0.051419999450445175, -0.03556999936699867, 0.1939699947834015, -0.20497000217437744, 0.21751999855041504, 0.2176699936389923, 0.0652099996805191, 0.06367000192403793, 0.07744000107049942, 0.0908999964594841, -0.03988000005483627, -0.027739999815821648, -0.10057999938726425, -0.05031000077724457, -0.02718999981880188, -0.05378999933600426, -0.0006500000017695129, -0.0063299997709691525]
