person	segment
0	[[0.04, 1.8], [1.84, 1.96], [4.16, 6.44], [13.88, 16.2]]
1	[[0.76, 1.8], [1.84, 1.96], [4.16, 5.24]]
2	[[2.08, 4.12], [6.48, 10.0], [11.44, 13.8]]
3	[[6.48, 9.88]]
4	[[10.28, 11.0]]
5	[[11.04, 12.08], [13.84, 16.2]]
6	[[11.04, 12.2]]
7	[[17.24, 18.28]]
