index	segment
0.0	5e-05:1.6269999999999998
1.0	1.6269999999999998:5.63105
2.0	5.63105:6.9239999999999995
3.0	6.9239999999999995:7.09005
4.0	7.09005:7.382000000000001
5.0	7.382000000000001:7.424049999999999
6.0	7.424049999999999:9.134
7.0	9.134:9.17605
8.0	9.17605:9.968
9.0	9.968:11.72005
10.0	11.72005:12.51205
11.0	12.51205:14.097000000000001
12.0	14.097000000000001:14.222999999999999
13.0	14.222999999999999:15.18205
14.0	15.18205:17.017
15.0	17.017:17.059050000000003
16.0	17.059050000000003:21.396
17.0	21.396:29.27905
18.0	29.27905:29.613000000000003
19.0	29.613000000000003:30.489050000000002
20.0	30.489050000000002:30.614050000000002
21.0	30.614050000000002:38.83005
22.0	38.83005:39.414
23.0	39.414:39.41405
24.0	39.41405:39.45605
25.0	39.45605:39.498000000000005
26.0	39.498000000000005:39.873000000000005
27.0	39.873000000000005:39.91505
28.0	39.91505:41.833
29.0	41.833:42.20905
30.0	42.20905:42.251000000000005
31.0	42.251000000000005:42.29205
32.0	42.29205:42.41705
33.0	42.41705:42.54205
34.0	42.54205:43.001000000000005
35.0	43.001000000000005:43.168
36.0	43.168:45.336999999999996
37.0	45.336999999999996:45.37905
38.0	45.37905:45.711999999999996
39.0	45.711999999999996:47.21405
40.0	47.21405:47.381
41.0	47.381:48.42305
42.0	48.42305:48.715
43.0	48.715:54.38805000000001
44.0	54.38805000000001:55.347
45.0	55.347:75.32505
46.0	75.32505:75.95100000000001
47.0	75.95100000000001:77.16005
48.0	77.16005:83.5
49.0	83.5:83.87505
50.0	83.87505:87.546
51.0	87.546:87.58805
52.0	87.58805:87.713
53.0	87.713:87.75404999999999
54.0	87.75404999999999:90.132
55.0	90.132:90.17304999999999
56.0	90.17304999999999:93.26
57.0	93.26:93.30205000000001
58.0	93.30205000000001:95.762
59.0	95.762:95.80405
60.0	95.80405:97.84805
61.0	97.84805:100.89200000000001
62.0	100.89200000000001:104.31304999999999
63.0	104.31304999999999:105.48
64.0	105.48:105.52205000000001
65.0	105.52205000000001:107.399
66.0	107.399:107.44105
67.0	107.44105:111.486
68.0	111.486:111.52805
69.0	111.52805:114.99
70.0	114.99:115.03205000000001
71.0	115.03205000000001:118.57700000000001
72.0	118.57700000000001:118.61805
73.0	118.61805:120.287
74.0	120.287:120.32905
75.0	120.32905:123.12299999999999
76.0	123.12299999999999:123.16505000000001
77.0	123.16505000000001:123.74905
78.0	123.74905:125.25
79.0	125.25:138.22105
80.0	138.22105:140.015
81.0	140.015:143.22605
82.0	143.22605:145.52
83.0	145.52:145.56205
84.0	145.56205:146.27100000000002
85.0	146.27100000000002:148.39804999999998
86.0	148.39804999999998:159.326
87.0	159.326:159.36804999999998
88.0	159.36804999999998:161.49505
89.0	161.49505:161.536
90.0	161.536:163.03799999999998
91.0	163.03799999999998:163.08005
92.0	163.08005:169.21099999999998
93.0	169.21099999999998:169.25205
94.0	169.25205:174.049
95.0	174.049:174.09104999999997
96.0	174.09104999999997:178.512
