person_label	Embeddings
0	[-0.03297000005841255, 0.07327999919652939, 0.06395000219345093, -0.0006500000017695129, -0.11055000126361847, -0.05892999842762947, -0.03942999988794327, -0.012919999659061432, 0.15185999870300293, -0.09698999673128128, 0.2108200043439865, -0.034609999507665634, -0.22224000096321106, -0.04385000094771385, -0.026079999282956123, 0.13165000081062317, -0.13413000106811523, -0.08793000131845474, -0.14591999351978302, -0.12594999372959137, -0.02507000043988228, -0.012860000133514404, 0.032280001789331436, 0.001290000043809414, -0.1442900002002716, -0.25435999035835266, -0.07072000205516815, -0.0916299968957901, 0.10018999874591827, -0.14760999381542206, 0.024119999259710312, 0.04816000163555145, -0.18276000022888184, -0.02718999981880188, 0.008659999817609787, 0.025919999927282333, -0.033959999680519104, -0.04343000054359436, 0.1971299946308136, -0.03587000072002411, -0.1690800040960312, 0.020509999245405197, 0.010180000215768814, 0.23103000223636627, 0.230320006608963, -0.010710000060498714, -0.009840000420808792, -0.09994000196456909, 0.09414999932050705, -0.262470006942749, -0.017589999362826347, 0.18558000028133392, 0.05167999863624573, 0.09985999763011932, 0.06735000014305115, -0.10208000242710114, 0.007110000122338533, 0.16053999960422516, -0.119159996509552, 0.04303999990224838, 0.029850000515580177, -0.033410001546144485, -0.04950999841094017, -0.08315999805927277, 0.16493000090122223, 0.03626000136137009, -0.11421000212430954, -0.14488999545574188, 0.1775600016117096, -0.19169999659061432, 0.0002099999983329326, 0.1393200010061264, -0.0926700010895729, -0.179749995470047, -0.26096999645233154, 0.05285999923944473, 0.3848100006580353, 0.20879000425338745, -0.14052000641822815, 0.005640000104904175, -0.10749000310897827, -0.03589000180363655, -0.02531999908387661, 0.02271999977529049, -0.11210999637842178, -0.04224000126123428, -0.063230000436306, 0.09188000112771988, 0.1876000016927719, -0.06106000021100044, 0.03590000048279762, 0.20087000727653503, 0.017330000177025795, 0.037050001323223114, -0.05446000024676323, -0.013269999995827675, -0.11142999678850174, -0.028429999947547913, -0.13006000220775604, -0.031190000474452972, 0.06392999738454819, -0.09358999878168106, 0.04225999861955643, 0.1288599967956543, -0.14313000440597534, 0.14318999648094177, -0.013559999875724316, -0.04529999941587448, 0.00431999983265996, 0.09358999878168106, -0.051419999450445175, -0.03556999936699867, 0.1939699947834015, -0.20497000217437744, 0.21751999855041504, 0.2176699936389923, 0.0652099996805191, 0.06367000192403793, 0.07744000107049942, 0.0908999964594841, -0.03988000005483627, -0.027739999815821648, -0.10057999938726425, -0.05031000077724457, -0.02718999981880188, -0.05378999933600426, -0.0006500000017695129, -0.0063299997709691525]
1	[0.06393729150295258, 0.1641523540019989, 0.10807271301746368, 0.08036699891090393, -0.07225583493709564, 0.08586862683296204, -0.10963871330022812, 0.013730291277170181, 0.1703549176454544, -0.022096091881394386, 0.2279559075832367, -0.013131652027368546, -0.20482519268989563, -0.05751087889075279, -0.01042243279516697, 0.18030960857868195, -0.1371585875749588, -0.02254726178944111, -0.1506797820329666, 0.0006822922732681036, -0.029819441959261894, 0.0314016155898571, -0.011291524395346642, -0.034042514860630035, -0.10603919625282288, -0.37923067808151245, -0.05724383890628815, -0.05362454429268837, 0.04232531785964966, -0.17432764172554016, -0.1112964004278183, -0.010254617780447006, -0.16741327941417694, -0.11402172595262527, 0.021226154640316963, 0.004279115237295628, -0.024543099105358124, -0.02558022551238537, 0.14661158621311188, 0.03569301962852478, -0.16076281666755676, 0.060006942600011826, 0.07819604128599167, 0.20488925278186798, 0.1760481595993042, 0.07288859784603119, 0.044412337243556976, -0.06636838614940643, 0.11438962072134018, -0.234096959233284, 0.06120864674448967, 0.12500299513339996, 0.13164757192134857, 0.11711772531270981, 0.1287699043750763, -0.1812911480665207, -0.08008433133363724, 0.22441668808460236, -0.14569693803787231, 0.1192827820777893, -0.022032905369997025, 0.0016248914180323482, 0.0021712605375796556, -0.021442972123622894, 0.1509346067905426, 0.1111321896314621, -0.045577272772789, -0.17103654146194458, 0.1364538073539734, -0.107267364859581, 0.005940055008977652, 0.03496897965669632, -0.031213857233524323, -0.1818024218082428, -0.35127323865890503, 0.024502703920006752, 0.31883442401885986, 0.11806908249855042, -0.2673089802265167, -0.053591448813676834, -0.0513933002948761, -0.11077357083559036, -0.0005790875875391066, 0.031108396127820015, -0.05235017463564873, -0.01068111788481474, -0.07629603892564774, 0.0014444381231442094, 0.20509439706802368, -0.0010328744538128376, 0.09681858122348785, 0.20894870162010193, -0.017994707450270653, -0.029593532904982567, -0.025331761687994003, 0.04737129807472229, -0.18019717931747437, -0.019691532477736473, -0.15739960968494415, -0.07889680564403534, 0.006749768741428852, -0.09688028693199158, -0.003593205939978361, 0.10650162398815155, -0.23812276124954224, 0.11825137585401535, -0.0010251052444800735, -0.057499054819345474, 0.016416799277067184, 0.05521579086780548, -0.0614023320376873, -0.023485984653234482, 0.24946880340576172, -0.2293572574853897, 0.18473875522613525, 0.1746262162923813, -0.02019323967397213, 0.10197356343269348, 0.03754618763923645, 0.11604468524456024, -0.023655874654650688, -0.043827176094055176, -0.12164509296417236, -0.09213875979185104, -0.048206355422735214, -0.07632993906736374, -0.03868616744875908, 0.03260679170489311]
2	[-0.03297000005841255, 0.07327999919652939, 0.06395000219345093, -0.0006500000017695129, -0.11055000126361847, -0.05892999842762947, -0.03942999988794327, -0.012919999659061432, 0.15185999870300293, -0.09698999673128128, 0.2108200043439865, -0.034609999507665634, -0.22224000096321106, -0.04385000094771385, -0.026079999282956123, 0.13165000081062317, -0.13413000106811523, -0.08793000131845474, -0.14591999351978302, -0.12594999372959137, -0.02507000043988228, -0.012860000133514404, 0.032280001789331436, 0.001290000043809414, -0.1442900002002716, -0.25435999035835266, -0.07072000205516815, -0.0916299968957901, 0.10018999874591827, -0.14760999381542206, 0.024119999259710312, 0.04816000163555145, -0.18276000022888184, -0.02718999981880188, 0.008659999817609787, 0.025919999927282333, -0.033959999680519104, -0.04343000054359436, 0.1971299946308136, -0.03587000072002411, -0.1690800040960312, 0.020509999245405197, 0.010180000215768814, 0.23103000223636627, 0.230320006608963, -0.010710000060498714, -0.009840000420808792, -0.09994000196456909, 0.09414999932050705, -0.262470006942749, -0.017589999362826347, 0.18558000028133392, 0.05167999863624573, 0.09985999763011932, 0.06735000014305115, -0.10208000242710114, 0.007110000122338533, 0.16053999960422516, -0.119159996509552, 0.04303999990224838, 0.029850000515580177, -0.033410001546144485, -0.04950999841094017, -0.08315999805927277, 0.16493000090122223, 0.03626000136137009, -0.11421000212430954, -0.14488999545574188, 0.1775600016117096, -0.19169999659061432, 0.0002099999983329326, 0.1393200010061264, -0.0926700010895729, -0.179749995470047, -0.26096999645233154, 0.05285999923944473, 0.3848100006580353, 0.20879000425338745, -0.14052000641822815, 0.005640000104904175, -0.10749000310897827, -0.03589000180363655, -0.02531999908387661, 0.02271999977529049, -0.11210999637842178, -0.04224000126123428, -0.063230000436306, 0.09188000112771988, 0.1876000016927719, -0.06106000021100044, 0.03590000048279762, 0.20087000727653503, 0.017330000177025795, 0.037050001323223114, -0.05446000024676323, -0.013269999995827675, -0.11142999678850174, -0.028429999947547913, -0.13006000220775604, -0.031190000474452972, 0.06392999738454819, -0.09358999878168106, 0.04225999861955643, 0.1288599967956543, -0.14313000440597534, 0.14318999648094177, -0.013559999875724316, -0.04529999941587448, 0.00431999983265996, 0.09358999878168106, -0.051419999450445175, -0.03556999936699867, 0.1939699947834015, -0.20497000217437744, 0.21751999855041504, 0.2176699936389923, 0.0652099996805191, 0.06367000192403793, 0.07744000107049942, 0.0908999964594841, -0.03988000005483627, -0.027739999815821648, -0.10057999938726425, -0.05031000077724457, -0.02718999981880188, -0.05378999933600426, -0.0006500000017695129, -0.0063299997709691525]
3	[-0.11000438034534454, 0.1329108327627182, 0.10929852724075317, -0.09376788139343262, -0.11546643078327179, 0.047073230147361755, -0.024458177387714386, -0.060224827378988266, 0.24217839539051056, -0.03187202289700508, 0.22803620994091034, 0.0030352387111634016, -0.26133182644844055, 0.013200138695538044, 0.03812897577881813, 0.1888538897037506, -0.18793010711669922, -0.10162055492401123, -0.1312941163778305, -0.04725990444421768, -0.04506314918398857, 0.04291776195168495, 0.04913482069969177, 0.06707912683486938, -0.2379034459590912, -0.33431413769721985, -0.013119081035256386, -0.09728462994098663, 0.027654200792312622, -0.10077890753746033, 0.05449104681611061, 0.05144963413476944, -0.18232466280460358, -0.009924227371811867, 0.06295076757669449, 0.09433569759130478, -0.05485546216368675, -0.08885093033313751, 0.15487688779830933, -0.06491594761610031, -0.2660406827926636, -0.03535643592476845, 0.12136305868625641, 0.22020506858825684, 0.24480286240577698, 0.04337926208972931, 0.07887676358222961, -0.08663692325353622, 0.10165676474571228, -0.401332288980484, 0.0854165256023407, 0.10501733422279358, -0.03821944072842598, 0.07644419372081757, 0.1177791878581047, -0.1832912564277649, -0.019488302990794182, 0.15404069423675537, -0.18073217570781708, 0.09579934179782867, 0.14296571910381317, -0.023601438850164413, -0.016354387626051903, -0.03223005682229996, 0.2805909812450409, 0.12099803984165192, -0.19762927293777466, -0.18128255009651184, 0.0867355465888977, -0.20389415323734283, -0.03491485118865967, 0.14576080441474915, -0.058393850922584534, -0.22112445533275604, -0.31204953789711, 0.0357985757291317, 0.35079827904701233, 0.1819792240858078, -0.15819920599460602, 0.05040441453456879, -0.14632616937160492, 0.02683371677994728, 0.0036882120184600353, 0.08054771274328232, 0.02350945584475994, -0.0387067049741745, -0.10348565131425858, -0.006842668633908033, 0.3026910424232483, -0.04040733724832535, 0.06162396818399429, 0.36321476101875305, 0.01667744480073452, -0.0947987362742424, -0.08104206621646881, 0.11242746561765671, -0.1758253425359726, -0.02981913834810257, -0.11241403967142105, -0.06753457337617874, 0.07447241991758347, 0.07298090308904648, 0.05845002084970474, 0.11771851778030396, -0.2617745101451874, 0.22389601171016693, -0.06965380907058716, 0.017038017511367798, 0.08102097362279892, -0.01828387752175331, -0.06843151152133942, -0.07207776606082916, 0.20260167121887207, -0.31255048513412476, 0.19754540920257568, 0.15065400302410126, 0.04663650691509247, 0.11002624779939651, 0.08862524479627609, 0.0695105716586113, 0.06336817145347595, 0.010723835788667202, -0.08957475423812866, -0.05462948977947235, 0.013150491751730442, -0.11992195248603821, 0.013055042363703251, 0.04696144536137581]
6	[-0.16575048863887787, 0.16639873385429382, 0.08385086804628372, -0.03102976828813553, -0.22193695604801178, 0.009912139736115932, -0.04122598096728325, -0.055546849966049194, 0.13315752148628235, -0.006850928533822298, 0.14797186851501465, -0.054803911596536636, -0.19946347177028656, 0.03733600676059723, 0.010867665521800518, 0.16349779069423676, -0.12609753012657166, -0.1048194095492363, -0.10241636633872986, -0.08164431154727936, 0.012046934105455875, -0.028240269050002098, 0.026297472417354584, 0.1173764318227768, -0.20476357638835907, -0.21927490830421448, -0.097417451441288, -0.09915968030691147, 0.16154375672340393, -0.08458865433931351, -0.008825289085507393, -0.006155644543468952, -0.20250988006591797, -0.09990799427032471, -0.00255006505176425, 0.03469844534993172, -0.05414237454533577, -0.07970631122589111, 0.20590078830718994, -0.025633929297327995, -0.17653034627437592, 0.013223924674093723, 0.023446891456842422, 0.3106456398963928, 0.16918157041072845, 0.04899395629763603, 0.08168047666549683, -0.04123356565833092, 0.13495253026485443, -0.2765808403491974, 0.15897534787654877, 0.08308367431163788, 0.07300860434770584, 0.07742521911859512, 0.06041755899786949, -0.18833594024181366, 0.08142216503620148, 0.29036378860473633, -0.22480180859565735, 0.18545366823673248, 0.0956496074795723, -0.05899646505713463, -0.005174377467483282, -0.030565906316041946, 0.27964290976524353, 0.16938012838363647, -0.09023667871952057, -0.15304110944271088, 0.14059026539325714, -0.09091582894325256, 0.0008258429006673396, 0.1241622120141983, -0.12156832963228226, -0.10326918959617615, -0.41562914848327637, 0.07684742659330368, 0.4611019194126129, 0.1372266709804535, -0.20594902336597443, -0.06970527023077011, -0.04224638268351555, 0.06262696534395218, 0.10600099712610245, 0.06852899491786957, -0.15263596177101135, -0.14100795984268188, -0.11758843809366226, 0.019155234098434448, 0.2030174732208252, -0.007500418461859226, -0.039481308311223984, 0.2218782603740692, 0.1166408509016037, -0.06823979318141937, -0.01584886759519577, 0.11137267202138901, -0.14846216142177582, -0.10736874490976334, -0.06079057976603508, -0.021282555535435677, 0.06183113157749176, -0.04041793569922447, -0.01187569834291935, 0.17543241381645203, -0.22222495079040527, 0.1496802270412445, -0.005285813007503748, -0.008293593302369118, -0.07562647759914398, 0.011778191663324833, -0.11621031165122986, -0.025785163044929504, 0.1750779002904892, -0.2543625831604004, 0.16616496443748474, 0.18967582285404205, -0.017385108396410942, 0.07968951016664505, 0.060724951326847076, 0.04688672348856926, -0.006525960750877857, 0.03111046925187111, -0.06441689282655716, -0.03508404642343521, 0.12651482224464417, -0.11079341918230057, 0.05359622836112976, 0.09034834057092667]
11	[-0.06419, 0.04093, 0.12129000000000001, -0.02725, -0.058589999999999996, -0.06696, 0.04528, -0.17003, 0.13055, -0.12142, 0.27432, -0.00614, -0.20848000000000003, -0.060529999999999994, 0.038, 0.12666, -0.13899, -0.12523, -0.10056, -0.06511, -0.0713, 0.04362, 0.04442, 0.007509999999999999, -0.04554, -0.30267, -0.10628, -0.18097, 0.04676, 0.006, 0.00822, 0.0459, -0.17104, -0.0454, 0.025509999999999998, 0.05268, -0.04015, -0.02144, 0.21538000000000002, -0.03685, -0.14495, -0.07277, 0.011559999999999999, 0.17808, 0.19814, -0.00818, -0.00514, -0.043930000000000004, 0.02851, -0.23415, 0.00603, 0.04772, 0.12354000000000001, 0.041069999999999995, -0.02908, -0.17521, -0.01496, 0.0555, -0.18545999999999999, 0.025509999999999998, 0.00801, -0.17690999999999998, -0.11089, 0.054729999999999994, 0.29929, 0.11540999999999998, -0.11652, -0.07555, 0.16477999999999998, -0.19305, -0.01434, 0.03419, -0.1459, -0.0944, -0.254, -0.00983, 0.42433000000000004, 0.00439, -0.19218, -0.00047000000000000004, -0.16221, 0.037939999999999995, 0.03735, 0.0382, -0.06988, -0.01756, -0.0998, -0.0072900000000000005, 0.17636, -0.11254000000000002, -0.019030000000000002, 0.2077, -0.07278, 0.08184, 0.062439999999999996, -0.02938, 0.02653, -0.09411, -0.1129, -0.047389999999999995, 0.03268, -0.0784, 0.00843, 0.09507, -0.21006, 0.06724, 0.00617, -0.024630000000000003, 0.10522999999999999, -0.01082, -0.07221, -0.14372000000000001, 0.23231, -0.18166, 0.18548, 0.19149000000000002, -0.06685, 0.154, 0.03683, 0.08002000000000001, -0.0808, -0.01353, -0.17082, -0.0016300000000000002, 0.07066, 0.00162, 0.04091, 0.00067]
