person	segment
0	[[0.0, 1.6269999999999998], [107.441, 111.486]]
1	[[5.631, 6.9239999999999995], [7.09, 7.382000000000001], [12.512, 14.097000000000001], [15.182, 17.017], [17.059, 21.396], [30.489, 39.873000000000005], [39.455999999999996, 39.498000000000005], [39.915, 41.833], [42.208999999999996, 42.251000000000005], [42.417, 43.001000000000005], [75.325, 75.95100000000001], [77.16, 83.5], [87.588, 87.713], [87.75399999999999, 90.132], [90.17299999999999, 93.26], [95.804, 100.89200000000001], [97.848, 100.89200000000001], [105.522, 107.399], [111.52799999999999, 114.99], [118.618, 120.287], [123.165, 125.25], [138.221, 140.015], [143.226, 145.52], [148.398, 159.326], [163.08, 169.21099999999998], [174.09099999999998, 178.512]]
2	[[45.379, 45.711999999999996], [47.214, 47.381], [93.302, 95.762], [145.562, 146.27100000000002]]
3	[[7.4239999999999995, 9.134], [9.176, 9.968], [11.72, 14.222999999999999], [29.279, 29.613000000000003], [30.614, 39.414], [39.414, 39.498000000000005], [42.292, 43.168], [48.423, 48.715], [54.388000000000005, 55.347], [104.31299999999999, 105.48], [115.03200000000001, 118.57700000000001]]
6	[[38.83, 42.251000000000005], [42.542, 45.336999999999996], [83.875, 87.546], [87.588, 87.713], [87.75399999999999, 90.132], [105.522, 107.399], [120.329, 123.12299999999999], [123.749, 125.25]]
11	[[159.368, 161.536], [161.495, 163.03799999999998], [169.252, 174.049]]
