person_label	Embeddings
0	[-0.0948772132396698, -0.047552309930324554, 0.02960684709250927, 0.05434616655111313, -0.0872018039226532, -0.006019900552928448, -0.013645635917782784, -0.0036118640564382076, 0.0905541479587555, 0.010493418201804161, 0.2544209063053131, -0.01846412569284439, -0.25569313764572144, -0.012767767533659935, -0.058503735810518265, 0.0733746886253357, -0.13017341494560242, -0.08404488861560822, -0.06136924773454666, -0.06581461429595947, 0.057953525334596634, 0.14215800166130066, 0.007555193733423948, 0.032145433127880096, -0.12324104458093643, -0.27249693870544434, -0.09442305564880371, -0.1531968116760254, 0.04357702285051346, -0.14431439340114594, -0.040051352232694626, 0.13441021740436554, -0.11610570549964905, -0.0900152325630188, 0.09530144929885864, 0.04604136571288109, -0.08281350135803223, -0.045937929302453995, 0.21479541063308716, 0.07926183938980103, -0.13610894978046417, 0.001955600455403328, 0.010611223056912422, 0.3846152126789093, 0.14099179208278656, 0.05880627781152725, -0.031151017174124718, -0.05478261783719063, 0.06264185160398483, -0.2911015450954437, 0.1231500655412674, 0.18183772265911102, 0.19368840754032135, 0.07801686227321625, 0.07440707087516785, -0.20341454446315765, -0.0055625056847929955, 0.13968531787395477, -0.16251245141029358, 0.17298771440982819, 0.04049729183316231, -0.12396174669265747, 0.03790424019098282, -0.1410818248987198, 0.15244056284427643, 0.01672903448343277, -0.10375887155532837, -0.05473877489566803, 0.1819724142551422, -0.07994799315929413, -0.07856316864490509, 0.12304932624101639, -0.13462644815444946, -0.27098461985588074, -0.20944055914878845, 0.06047840043902397, 0.382656067609787, 0.14873722195625305, -0.21483127772808075, 0.023931428790092468, -0.026855286210775375, -0.03321642428636551, 0.015982884913682938, 0.0717073455452919, -0.06741758435964584, -0.003204659093171358, -0.09374690055847168, -0.001150644151493907, 0.1684357076883316, -0.01952357403934002, -0.04052543267607689, 0.2202138453722, -0.029357051476836205, -0.007506113033741713, 0.14707674086093903, 0.020100653171539307, -0.03408609330654144, -0.041888244450092316, -0.13361972570419312, -0.02882930263876915, -0.0036671748384833336, -0.2318500280380249, -0.017338227480649948, 0.0628448873758316, -0.1489357203245163, 0.17928972840309143, 0.004129329230636358, -0.0335061177611351, -0.027216624468564987, -0.06562338769435883, -0.0916404277086258, 0.06705283373594284, 0.2369968742132187, -0.2992624342441559, 0.2294025719165802, 0.14763201773166656, 0.10797341912984848, 0.21421602368354797, 0.010726938024163246, 0.08841702342033386, -0.08316441625356674, -0.07292702794075012, -0.21488508582115173, -0.09328643232584, 0.07313074171543121, -0.014559591189026833, 0.019799336791038513, 0.05129754915833473]
1	[-0.012731057591736317, 0.13489504158496857, 0.07374005764722824, -0.07339370995759964, -0.0861239805817604, -0.02654566802084446, 0.0046022203750908375, -0.21180252730846405, 0.172196626663208, -0.040434084832668304, 0.11566034704446793, -0.124455526471138, -0.3091440498828888, -0.0012372200144454837, -0.011189845390617847, 0.1435733288526535, -0.0508081428706646, -0.24612592160701752, -0.15197943150997162, -0.07146844267845154, 0.05030069872736931, -0.02741909958422184, 0.0626438558101654, 0.1340443640947342, -0.23873713612556458, -0.23757760226726532, -0.08634544909000397, -0.10138516128063202, -0.03523727133870125, -0.14311178028583527, -0.0112752141430974, 0.08085063099861145, -0.15166378021240234, -0.027187097817659378, 0.05865417420864105, 0.07297554612159729, -0.006167099345475435, -0.13718268275260925, 0.209585502743721, -0.0031704925931990147, -0.22060050070285797, -0.02171640656888485, 0.11227352172136307, 0.25782662630081177, 0.20183078944683075, 0.008870696648955345, 0.12062174826860428, -0.08543287962675095, 0.06677580624818802, -0.2862926125526428, 0.055422380566596985, 0.16501861810684204, 0.019147949293255806, 0.08142442256212234, 0.09356225281953812, -0.1760667860507965, -0.049167707562446594, 0.1471354216337204, -0.20001661777496338, 0.1736534833908081, 0.12707582116127014, -0.11950671672821045, -0.11076247692108154, -0.13287290930747986, 0.25482335686683655, 0.14352214336395264, -0.19551007449626923, -0.1725238859653473, 0.1546495109796524, -0.17847885191440582, -0.12476738542318344, 0.082797110080719, -0.19361457228660583, -0.1342771053314209, -0.33085548877716064, -0.0032982153352349997, 0.4540553390979767, 0.15369635820388794, -0.1858324259519577, 0.0373600535094738, -0.14282521605491638, 0.08298096805810928, -0.049224402755498886, 0.1247960552573204, 0.032047636806964874, -0.002991177374497056, -0.08235163241624832, 0.05662380903959274, 0.21184644103050232, -0.08006317168474197, -0.05585680156946182, 0.2134309709072113, -0.020944243296980858, -0.032348308712244034, -0.09326286613941193, 0.08925005048513412, -0.17113541066646576, -0.0350840799510479, -0.10834165662527084, -0.04459849372506142, -0.007438370492309332, 0.08061270415782928, 0.06490269303321838, 0.14771434664726257, -0.1294155716896057, 0.11685670167207718, -0.024528149515390396, -0.046686410903930664, -0.043532952666282654, 0.055825162678956985, -0.10115979611873627, -0.09873759746551514, 0.13170360028743744, -0.3337785303592682, 0.12660636007785797, 0.1997414529323578, 0.03960449621081352, 0.01718294993042946, 0.01634073257446289, 0.10856805741786957, 0.11800696700811386, 0.06931304931640625, -0.09242577850818634, -0.08664367347955704, 0.043420255184173584, 0.026124071329832077, 0.004583262838423252, 0.05379348620772362]
2	[-0.08671858161687851, 0.061530351638793945, 0.03170953691005707, 0.009421620517969131, -0.1666436791419983, 0.08166512846946716, -0.023190701380372047, -0.033453602343797684, 0.153946653008461, -0.10295873880386353, 0.10862069576978683, -0.04861987382173538, -0.19250278174877167, 0.08027862757444382, -0.028251785784959793, 0.07697363197803497, -0.17510181665420532, -0.03270828351378441, -0.11908385157585144, -0.15913745760917664, 0.011196698993444443, 0.1161167100071907, 0.024583598598837852, 0.012684601359069347, -0.15906397998332977, -0.32868754863739014, -0.03451629355549812, -0.11132186651229858, 0.0832730084657669, -0.034506142139434814, -0.016165340319275856, -0.0320805199444294, -0.16550476849079132, 0.002511395374312997, 0.09106086194515228, 0.08168096095323563, -0.06367367506027222, -3.4388423955533653e-05, 0.16920386254787445, 0.04058069735765457, -0.11035775393247604, 0.0030330270528793335, 0.12248451262712479, 0.2576804757118225, 0.11492640525102615, 0.10709888488054276, -0.018984006717801094, -0.06237877160310745, 0.17002569139003754, -0.19052717089653015, 0.08297508209943771, 0.13482163846492767, 0.1602698117494583, 0.11301574856042862, 0.12993983924388885, -0.17202472686767578, 0.006214549764990807, 0.15100550651550293, -0.06737158447504044, 0.17300531268119812, 0.0805191844701767, -0.01236308179795742, -0.004810142796486616, -0.04705549776554108, 0.2541012167930603, 0.03791406750679016, -0.12076010555028915, -0.13220451772212982, 0.09673644602298737, -0.1548480987548828, -0.0444570928812027, 0.07389234006404877, -0.07232382148504257, -0.13188789784908295, -0.1995508223772049, 0.028919601812958717, 0.4424014985561371, 0.11227245628833771, -0.1546960026025772, -0.10774970054626465, -0.059925638139247894, -0.04869336634874344, 0.05894457921385765, 0.09886614978313446, -0.12542705237865448, -0.06474664807319641, -0.01356521062552929, 0.03380708023905754, 0.24176549911499023, -0.03537910431623459, 0.015707528218626976, 0.22112207114696503, 0.02214670740067959, 0.019860677421092987, -0.06449787318706512, -0.03233945742249489, -0.19028037786483765, 0.0026458546053618193, -0.034790389239788055, -0.025983354076743126, 0.02385437674820423, -0.1710115522146225, 0.03665732964873314, 0.08661103993654251, -0.2991325855255127, 0.16166476905345917, -0.04081708565354347, -0.04225478693842888, 0.06072820723056793, 0.0904778465628624, -0.149447962641716, -0.006832699291408062, 0.2182091474533081, -0.30247196555137634, 0.21504482626914978, 0.21411415934562683, 0.05504998937249184, 0.14855022728443146, 0.018649114295840263, 0.08134079724550247, 0.041569147258996964, 0.07721378654241562, -0.1305682361125946, -0.09995703399181366, -0.02806423231959343, -0.11587849259376526, -0.05614671856164932, 0.01992996409535408]
