person	segment
0	[[0.0, 6.52], [6.96, 8.72], [14.84, 14.88], [15.04, 15.52], [18.68, 21.72]]
1	[[0.0, 6.92]]
2	[[9.96, 10.52], [10.12, 11.04]]
3	[[16.76, 18.64], [22.2, 24.2]]
4	[[25.0, 25.68], [25.48, 27.6]]
6	[[30.56, 33.4]]
7	[[36.44, 37.92]]
