person_label	Embeddings
0	[-0.0796281099319458, 0.13491681218147278, 0.007713917177170515, -0.11156874150037766, -0.21729792654514313, 0.040615104138851166, -0.0632433220744133, -0.10496305674314499, 0.14969809353351593, -0.11761099845170975, 0.18298113346099854, -0.0038521327078342438, -0.25105586647987366, -0.0008381670340895653, -0.036313530057668686, 0.11115191876888275, -0.2081894427537918, -0.1501838117837906, -0.13115522265434265, -0.11795978248119354, 0.037197839468717575, 0.04824525862932205, 0.030293520539999008, 0.03286033868789673, -0.1572558432817459, -0.24955476820468903, -0.07794500142335892, -0.12171730399131775, 0.05033165588974953, -0.16184629499912262, 0.08138027787208557, -0.08173056691884995, -0.17003145813941956, -0.03397859260439873, 0.012618413195014, 0.023010725155472755, -0.08415181189775467, -0.09849764406681061, 0.1862432062625885, 0.047754790633916855, -0.13798512518405914, 0.03465528041124344, 0.06765977293252945, 0.28997746109962463, 0.11571449786424637, 0.05000722408294678, 0.038559623062610626, -0.033440325409173965, 0.11303488165140152, -0.2601695954799652, 0.06487034261226654, 0.16036057472229004, 0.14324843883514404, 0.047573067247867584, 0.15766268968582153, -0.12755483388900757, 0.12194839864969254, 0.17845307290554047, -0.14329582452774048, 0.08450853824615479, 0.12694545090198517, 0.006386756431311369, 0.012712664902210236, 0.04552140459418297, 0.2766123414039612, 0.08904717862606049, -0.07370230555534363, -0.11997655779123306, 0.1001979187130928, -0.1008324846625328, -0.13647425174713135, 0.06077573075890541, -0.12574082612991333, -0.08507361263036728, -0.24877168238162994, -0.015438757836818695, 0.46832552552223206, 0.09295113384723663, -0.1543779820203781, -0.03219059109687805, -0.10204841941595078, 0.023045873269438744, 0.051090266555547714, 0.00582148227840662, -0.15039101243019104, -0.0976555198431015, -0.125422403216362, 0.04918140545487404, 0.2012673020362854, -0.04662935808300972, -0.01042642816901207, 0.19203007221221924, 0.1090075895190239, -0.079229436814785, 0.03007415309548378, -0.018290607258677483, -0.13142946362495422, -0.038463931530714035, -0.006804586388170719, -0.015737177804112434, 0.0470539927482605, -0.09780120849609375, -0.02776949293911457, 0.11875873804092407, -0.2556154131889343, 0.1132468432188034, -0.017217352986335754, -0.09595820307731628, -0.044389814138412476, 0.06024046987295151, -0.10597522556781769, -0.029667899012565613, 0.14222891628742218, -0.30791574716567993, 0.18380588293075562, 0.2429632991552353, -0.012282397598028183, 0.06952172517776489, 0.01854461431503296, 0.02291559986770153, -0.017672033980488777, 0.052230723202228546, -0.08474422991275787, -0.1559414267539978, -0.0218008104711771, -0.04513442516326904, -0.005948005709797144, 0.0223554577678442]
1	[-0.06227999925613403, 0.06767000257968903, 0.17114000022411346, -0.08191999793052673, -0.17710000276565552, 0.013539999723434448, 0.001290000043809414, -0.06202000007033348, 0.15588000416755676, -0.05787999927997589, 0.11755000054836273, -0.02971000038087368, -0.20632000267505646, 0.08422999829053879, -0.025989999994635582, 0.14722999930381775, -0.19631999731063843, -0.23841999471187592, -0.07062999904155731, -0.06887999922037125, -0.07054000347852707, 0.1340699940919876, -0.013059999793767929, 0.08882000297307968, -0.2248699963092804, -0.29328998923301697, -0.08100000023841858, -0.07858999818563461, 0.024890000000596046, -0.08154000341892242, -0.017839999869465828, 0.0708099976181984, -0.1470700055360794, 0.024390000849962234, 0.09556999802589417, 0.08912999927997589, -0.13023999333381653, -0.15237000584602356, 0.13551999628543854, 0.11474999785423279, -0.29475998878479004, -0.00901000015437603, 0.09572000056505203, 0.3301999866962433, 0.3152399957180023, -0.055160000920295715, 0.002749999985098839, -0.01590000092983246, 0.13992999494075775, -0.333840012550354, 0.07103999704122543, 0.16165000200271606, 0.08993999660015106, 0.10029000043869019, 0.04729999974370003, -0.1370600014925003, -0.06176000088453293, 0.15729999542236328, -0.15151000022888184, 0.13885000348091125, 0.12145999819040298, -0.16446000337600708, 0.045170001685619354, -0.049479998648166656, 0.1386999934911728, 0.07643000036478043, -0.1511099934577942, -0.14445999264717102, 0.19074000418186188, -0.18869000673294067, -0.06808000057935715, 0.1215599998831749, -0.123989999294281, -0.18258999288082123, -0.1977500021457672, 0.049309998750686646, 0.41617000102996826, 0.12008000165224075, -0.10226000100374222, -0.019220000132918358, -0.03677999973297119, 0.044449999928474426, -0.046209998428821564, 0.18185999989509583, -0.028550000861287117, -0.02157999947667122, -0.09894999861717224, 0.06029000133275986, 0.27063000202178955, -0.05558000132441521, -0.004100000020116568, 0.27605998516082764, -0.019619999453425407, -0.029120000079274178, 0.05079999938607216, 0.09055999666452408, -0.11939000338315964, 0.0037499999161809683, -0.1549299955368042, -0.03150000050663948, -0.050039999186992645, -0.029740000143647194, 0.016300000250339508, 0.12093999981880188, -0.09431000053882599, 0.2028300017118454, 0.0032399999909102917, -0.02175999991595745, -0.04301000013947487, -0.05105999857187271, -0.06577000021934509, -0.05823000147938728, 0.18672999739646912, -0.21517999470233917, 0.13416999578475952, 0.148389995098114, 0.07745999842882156, 0.11006999760866165, 0.037689998745918274, 0.006300000008195639, 0.03739999979734421, -0.07545000314712524, -0.07823999971151352, -0.026990000158548355, 0.029969999566674232, -0.06120999902486801, 0.004689999856054783, 0.03378999978303909]
2	[-0.16628938913345337, 0.14113487303256989, 0.12649302184581757, -0.20625177025794983, -0.18775442242622375, -0.009113526903092861, -0.05252886563539505, -0.12506568431854248, 0.23097006976604462, -0.12405411154031754, 0.194410040974617, -0.16137483716011047, -0.23717954754829407, 0.00661469204351306, -0.030885158106684685, 0.17306381464004517, -0.22609612345695496, -0.2025800496339798, -0.11062142252922058, -0.10070540755987167, -0.008430927991867065, 0.06383653730154037, -0.023571282625198364, 0.02229342982172966, -0.1767847090959549, -0.36086440086364746, -0.1307765692472458, -0.10879258066415787, 0.07137536257505417, -0.16758321225643158, 0.10455407202243805, 0.0506533682346344, -0.19044269621372223, -0.028284601867198944, 0.07900005578994751, 0.1258813738822937, 0.018095728009939194, -0.09219727665185928, 0.06772205978631973, -0.13101834058761597, -0.19749262928962708, 0.005869616754353046, 0.16886986792087555, 0.20987847447395325, 0.1737605184316635, 0.08122062683105469, -0.0443514920771122, -0.1377636045217514, 0.1288839876651764, -0.23191840946674347, 0.009164517745375633, 0.1406254917383194, -0.008253498934209347, 0.09803636372089386, 0.14269733428955078, -0.10860832035541534, 0.03941390663385391, 0.154961496591568, -0.23518817126750946, 0.0874791368842125, 0.1148916631937027, -0.0852978453040123, -0.04276620224118233, -0.09878674149513245, 0.1920033097267151, 0.04256478697061539, -0.15814565122127533, -0.2061830461025238, 0.12263855338096619, -0.19530005753040314, -0.025678601115942, 0.10945238918066025, -0.08579285442829132, -0.12459854781627655, -0.2431507706642151, -0.04322069138288498, 0.3548678755760193, 0.08416927605867386, -0.12719209492206573, 0.05941320210695267, -0.06781584024429321, -0.06121152266860008, -0.09307722747325897, 0.06528978049755096, -0.027049558237195015, -0.05607626214623451, -0.07650721818208694, 0.06337617337703705, 0.2641121447086334, -0.08696524798870087, 0.1440848857164383, 0.3037318289279938, -0.05246464163064957, -0.030598323792219162, -0.10103093832731247, 0.07606036961078644, -0.20830324292182922, -0.02356971614062786, -0.05603662133216858, -0.0442892350256443, 0.041430603712797165, -0.00566016836091876, -0.04651973024010658, 0.08930633962154388, -0.22067135572433472, 0.1819797158241272, -0.02333490177989006, -0.02939310111105442, -0.0657254233956337, -0.04816998168826103, -0.0016911564162001014, -0.04327821359038353, 0.24196964502334595, -0.29884180426597595, 0.1999051570892334, 0.23388198018074036, 0.033061716705560684, 0.11232529580593109, 0.02266242541372776, 0.0217775609344244, 0.05390838533639908, -0.028091249987483025, -0.09791846573352814, -0.09141438454389572, -0.004402348771691322, -0.12752200663089752, -0.06407374888658524, 0.027835430577397346]
3	[-0.07406685501337051, 0.1996869593858719, 0.176689013838768, -0.17297345399856567, -0.1556209772825241, -0.01950724981725216, -0.0287562757730484, -0.07167083024978638, 0.2621372640132904, -0.13136796653270721, 0.17794229090213776, 0.06514304131269455, -0.27644476294517517, 0.0731579065322876, 0.013347186148166656, 0.16043759882450104, -0.14030492305755615, -0.21867190301418304, -0.112690769135952, -0.0126353669911623, 0.008979455567896366, 0.08441779762506485, 0.016838187351822853, 0.054006002843379974, -0.07027149200439453, -0.31329667568206787, -0.08672895282506943, -0.05539412423968315, 0.018018566071987152, -0.09305814653635025, 0.06707463413476944, 0.01168486662209034, -0.17521020770072937, -0.008712437935173512, 0.017717555165290833, 0.07951267808675766, -0.11682432144880295, -0.16185429692268372, 0.14845050871372223, 0.00013076892355456948, -0.3033190667629242, -0.03371594101190567, 0.05639151111245155, 0.22745729982852936, 0.2960216999053955, -0.011770595796406269, 0.08563289791345596, -0.12202055752277374, 0.1434614360332489, -0.29301294684410095, 0.10903481394052505, 0.12905365228652954, 0.03807419538497925, 0.07943353801965714, 0.18297059834003448, -0.21035844087600708, 0.012797377072274685, 0.18038888275623322, -0.17513184249401093, 0.08295987546443939, 0.16582351922988892, -0.06453777104616165, 0.008126628585159779, -0.06326085329055786, 0.27699586749076843, 0.08025111258029938, -0.2034597247838974, -0.12477568536996841, 0.22739717364311218, -0.12062063813209534, -0.06023746728897095, 0.15331611037254333, -0.1574813425540924, -0.15060476958751678, -0.2107134610414505, 0.07011157274246216, 0.4197861850261688, 0.109952412545681, -0.0705450028181076, 0.03130487725138664, -0.0741410031914711, 0.04521942511200905, -0.06298141181468964, 0.13468721508979797, -0.0768977478146553, -0.04366552457213402, -0.09438405930995941, 0.059830695390701294, 0.2523956894874573, 0.018957555294036865, -0.016912611201405525, 0.2940267026424408, -0.04707223176956177, -0.04911480098962784, -0.018258458003401756, 0.11714540421962738, -0.1042611226439476, -0.019151723012328148, -0.17298881709575653, -0.030564958229660988, 0.022418759763240814, -0.06380229443311691, -0.06779640913009644, 0.13589389622211456, -0.1413559764623642, 0.11340254545211792, -0.04657028615474701, 0.05410699546337128, -0.05647160857915878, -0.05072440579533577, -0.10620935261249542, -0.0013797585852444172, 0.17137186229228973, -0.2395237535238266, 0.2453918308019638, 0.09732402861118317, 0.04321359470486641, 0.06281284987926483, 0.08461476862430573, 0.04860982298851013, 0.07038939744234085, -0.14752086997032166, -0.15023387968540192, -0.05998539179563522, 0.07281013578176498, -0.026957383379340172, 0.07959327101707458, 0.07173915207386017]
4	[-0.06227999925613403, 0.06767000257968903, 0.17114000022411346, -0.08191999793052673, -0.17710000276565552, 0.013539999723434448, 0.001290000043809414, -0.06202000007033348, 0.15588000416755676, -0.05787999927997589, 0.11755000054836273, -0.02971000038087368, -0.20632000267505646, 0.08422999829053879, -0.025989999994635582, 0.14722999930381775, -0.19631999731063843, -0.23841999471187592, -0.07062999904155731, -0.06887999922037125, -0.07054000347852707, 0.1340699940919876, -0.013059999793767929, 0.08882000297307968, -0.2248699963092804, -0.29328998923301697, -0.08100000023841858, -0.07858999818563461, 0.024890000000596046, -0.08154000341892242, -0.017839999869465828, 0.0708099976181984, -0.1470700055360794, 0.024390000849962234, 0.09556999802589417, 0.08912999927997589, -0.13023999333381653, -0.15237000584602356, 0.13551999628543854, 0.11474999785423279, -0.29475998878479004, -0.00901000015437603, 0.09572000056505203, 0.3301999866962433, 0.3152399957180023, -0.055160000920295715, 0.002749999985098839, -0.01590000092983246, 0.13992999494075775, -0.333840012550354, 0.07103999704122543, 0.16165000200271606, 0.08993999660015106, 0.10029000043869019, 0.04729999974370003, -0.1370600014925003, -0.06176000088453293, 0.15729999542236328, -0.15151000022888184, 0.13885000348091125, 0.12145999819040298, -0.16446000337600708, 0.045170001685619354, -0.049479998648166656, 0.1386999934911728, 0.07643000036478043, -0.1511099934577942, -0.14445999264717102, 0.19074000418186188, -0.18869000673294067, -0.06808000057935715, 0.1215599998831749, -0.123989999294281, -0.18258999288082123, -0.1977500021457672, 0.049309998750686646, 0.41617000102996826, 0.12008000165224075, -0.10226000100374222, -0.019220000132918358, -0.03677999973297119, 0.044449999928474426, -0.046209998428821564, 0.18185999989509583, -0.028550000861287117, -0.02157999947667122, -0.09894999861717224, 0.06029000133275986, 0.27063000202178955, -0.05558000132441521, -0.004100000020116568, 0.27605998516082764, -0.019619999453425407, -0.029120000079274178, 0.05079999938607216, 0.09055999666452408, -0.11939000338315964, 0.0037499999161809683, -0.1549299955368042, -0.03150000050663948, -0.050039999186992645, -0.029740000143647194, 0.016300000250339508, 0.12093999981880188, -0.09431000053882599, 0.2028300017118454, 0.0032399999909102917, -0.02175999991595745, -0.04301000013947487, -0.05105999857187271, -0.06577000021934509, -0.05823000147938728, 0.18672999739646912, -0.21517999470233917, 0.13416999578475952, 0.148389995098114, 0.07745999842882156, 0.11006999760866165, 0.037689998745918274, 0.006300000008195639, 0.03739999979734421, -0.07545000314712524, -0.07823999971151352, -0.026990000158548355, 0.029969999566674232, -0.06120999902486801, 0.004689999856054783, 0.03378999978303909]
6	[-0.03297000005841255, 0.07327999919652939, 0.06395000219345093, -0.0006500000017695129, -0.11055000126361847, -0.05892999842762947, -0.03942999988794327, -0.012919999659061432, 0.15185999870300293, -0.09698999673128128, 0.2108200043439865, -0.034609999507665634, -0.22224000096321106, -0.04385000094771385, -0.026079999282956123, 0.13165000081062317, -0.13413000106811523, -0.08793000131845474, -0.14591999351978302, -0.12594999372959137, -0.02507000043988228, -0.012860000133514404, 0.032280001789331436, 0.001290000043809414, -0.1442900002002716, -0.25435999035835266, -0.07072000205516815, -0.0916299968957901, 0.10018999874591827, -0.14760999381542206, 0.024119999259710312, 0.04816000163555145, -0.18276000022888184, -0.02718999981880188, 0.008659999817609787, 0.025919999927282333, -0.033959999680519104, -0.04343000054359436, 0.1971299946308136, -0.03587000072002411, -0.1690800040960312, 0.020509999245405197, 0.010180000215768814, 0.23103000223636627, 0.230320006608963, -0.010710000060498714, -0.009840000420808792, -0.09994000196456909, 0.09414999932050705, -0.262470006942749, -0.017589999362826347, 0.18558000028133392, 0.05167999863624573, 0.09985999763011932, 0.06735000014305115, -0.10208000242710114, 0.007110000122338533, 0.16053999960422516, -0.119159996509552, 0.04303999990224838, 0.029850000515580177, -0.033410001546144485, -0.04950999841094017, -0.08315999805927277, 0.16493000090122223, 0.03626000136137009, -0.11421000212430954, -0.14488999545574188, 0.1775600016117096, -0.19169999659061432, 0.0002099999983329326, 0.1393200010061264, -0.0926700010895729, -0.179749995470047, -0.26096999645233154, 0.05285999923944473, 0.3848100006580353, 0.20879000425338745, -0.14052000641822815, 0.005640000104904175, -0.10749000310897827, -0.03589000180363655, -0.02531999908387661, 0.02271999977529049, -0.11210999637842178, -0.04224000126123428, -0.063230000436306, 0.09188000112771988, 0.1876000016927719, -0.06106000021100044, 0.03590000048279762, 0.20087000727653503, 0.017330000177025795, 0.037050001323223114, -0.05446000024676323, -0.013269999995827675, -0.11142999678850174, -0.028429999947547913, -0.13006000220775604, -0.031190000474452972, 0.06392999738454819, -0.09358999878168106, 0.04225999861955643, 0.1288599967956543, -0.14313000440597534, 0.14318999648094177, -0.013559999875724316, -0.04529999941587448, 0.00431999983265996, 0.09358999878168106, -0.051419999450445175, -0.03556999936699867, 0.1939699947834015, -0.20497000217437744, 0.21751999855041504, 0.2176699936389923, 0.0652099996805191, 0.06367000192403793, 0.07744000107049942, 0.0908999964594841, -0.03988000005483627, -0.027739999815821648, -0.10057999938726425, -0.05031000077724457, -0.02718999981880188, -0.05378999933600426, -0.0006500000017695129, -0.0063299997709691525]
7	[-0.03297000005841255, 0.07327999919652939, 0.06395000219345093, -0.0006500000017695129, -0.11055000126361847, -0.05892999842762947, -0.03942999988794327, -0.012919999659061432, 0.15185999870300293, -0.09698999673128128, 0.2108200043439865, -0.034609999507665634, -0.22224000096321106, -0.04385000094771385, -0.026079999282956123, 0.13165000081062317, -0.13413000106811523, -0.08793000131845474, -0.14591999351978302, -0.12594999372959137, -0.02507000043988228, -0.012860000133514404, 0.032280001789331436, 0.001290000043809414, -0.1442900002002716, -0.25435999035835266, -0.07072000205516815, -0.0916299968957901, 0.10018999874591827, -0.14760999381542206, 0.024119999259710312, 0.04816000163555145, -0.18276000022888184, -0.02718999981880188, 0.008659999817609787, 0.025919999927282333, -0.033959999680519104, -0.04343000054359436, 0.1971299946308136, -0.03587000072002411, -0.1690800040960312, 0.020509999245405197, 0.010180000215768814, 0.23103000223636627, 0.230320006608963, -0.010710000060498714, -0.009840000420808792, -0.09994000196456909, 0.09414999932050705, -0.262470006942749, -0.017589999362826347, 0.18558000028133392, 0.05167999863624573, 0.09985999763011932, 0.06735000014305115, -0.10208000242710114, 0.007110000122338533, 0.16053999960422516, -0.119159996509552, 0.04303999990224838, 0.029850000515580177, -0.033410001546144485, -0.04950999841094017, -0.08315999805927277, 0.16493000090122223, 0.03626000136137009, -0.11421000212430954, -0.14488999545574188, 0.1775600016117096, -0.19169999659061432, 0.0002099999983329326, 0.1393200010061264, -0.0926700010895729, -0.179749995470047, -0.26096999645233154, 0.05285999923944473, 0.3848100006580353, 0.20879000425338745, -0.14052000641822815, 0.005640000104904175, -0.10749000310897827, -0.03589000180363655, -0.02531999908387661, 0.02271999977529049, -0.11210999637842178, -0.04224000126123428, -0.063230000436306, 0.09188000112771988, 0.1876000016927719, -0.06106000021100044, 0.03590000048279762, 0.20087000727653503, 0.017330000177025795, 0.037050001323223114, -0.05446000024676323, -0.013269999995827675, -0.11142999678850174, -0.028429999947547913, -0.13006000220775604, -0.031190000474452972, 0.06392999738454819, -0.09358999878168106, 0.04225999861955643, 0.1288599967956543, -0.14313000440597534, 0.14318999648094177, -0.013559999875724316, -0.04529999941587448, 0.00431999983265996, 0.09358999878168106, -0.051419999450445175, -0.03556999936699867, 0.1939699947834015, -0.20497000217437744, 0.21751999855041504, 0.2176699936389923, 0.0652099996805191, 0.06367000192403793, 0.07744000107049942, 0.0908999964594841, -0.03988000005483627, -0.027739999815821648, -0.10057999938726425, -0.05031000077724457, -0.02718999981880188, -0.05378999933600426, -0.0006500000017695129, -0.0063299997709691525]
