person_label	Embeddings
0	[-0.16575048863887787, 0.16639873385429382, 0.08385086804628372, -0.03102976828813553, -0.22193695604801178, 0.009912139736115932, -0.04122598096728325, -0.055546849966049194, 0.13315752148628235, -0.006850928533822298, 0.14797186851501465, -0.054803911596536636, -0.19946347177028656, 0.03733600676059723, 0.010867665521800518, 0.16349779069423676, -0.12609753012657166, -0.1048194095492363, -0.10241636633872986, -0.08164431154727936, 0.012046934105455875, -0.028240269050002098, 0.026297472417354584, 0.1173764318227768, -0.20476357638835907, -0.21927490830421448, -0.097417451441288, -0.09915968030691147, 0.16154375672340393, -0.08458865433931351, -0.008825289085507393, -0.006155644543468952, -0.20250988006591797, -0.09990799427032471, -0.00255006505176425, 0.03469844534993172, -0.05414237454533577, -0.07970631122589111, 0.20590078830718994, -0.025633929297327995, -0.17653034627437592, 0.013223924674093723, 0.023446891456842422, 0.3106456398963928, 0.16918157041072845, 0.04899395629763603, 0.08168047666549683, -0.04123356565833092, 0.13495253026485443, -0.2765808403491974, 0.15897534787654877, 0.08308367431163788, 0.07300860434770584, 0.07742521911859512, 0.06041755899786949, -0.18833594024181366, 0.08142216503620148, 0.29036378860473633, -0.22480180859565735, 0.18545366823673248, 0.0956496074795723, -0.05899646505713463, -0.005174377467483282, -0.030565906316041946, 0.27964290976524353, 0.16938012838363647, -0.09023667871952057, -0.15304110944271088, 0.14059026539325714, -0.09091582894325256, 0.0008258429006673396, 0.1241622120141983, -0.12156832963228226, -0.10326918959617615, -0.41562914848327637, 0.07684742659330368, 0.4611019194126129, 0.1372266709804535, -0.20594902336597443, -0.06970527023077011, -0.04224638268351555, 0.06262696534395218, 0.10600099712610245, 0.06852899491786957, -0.15263596177101135, -0.14100795984268188, -0.11758843809366226, 0.019155234098434448, 0.2030174732208252, -0.007500418461859226, -0.039481308311223984, 0.2218782603740692, 0.1166408509016037, -0.06823979318141937, -0.01584886759519577, 0.11137267202138901, -0.14846216142177582, -0.10736874490976334, -0.06079057976603508, -0.021282555535435677, 0.06183113157749176, -0.04041793569922447, -0.01187569834291935, 0.17543241381645203, -0.22222495079040527, 0.1496802270412445, -0.005285813007503748, -0.008293593302369118, -0.07562647759914398, 0.011778191663324833, -0.11621031165122986, -0.025785163044929504, 0.1750779002904892, -0.2543625831604004, 0.16616496443748474, 0.18967582285404205, -0.017385108396410942, 0.07968951016664505, 0.060724951326847076, 0.04688672348856926, -0.006525960750877857, 0.03111046925187111, -0.06441689282655716, -0.03508404642343521, 0.12651482224464417, -0.11079341918230057, 0.05359622836112976, 0.09034834057092667]
1	[0.06393729150295258, 0.1641523540019989, 0.10807271301746368, 0.08036699891090393, -0.07225583493709564, 0.08586862683296204, -0.10963871330022812, 0.013730291277170181, 0.1703549176454544, -0.022096091881394386, 0.2279559075832367, -0.013131652027368546, -0.20482519268989563, -0.05751087889075279, -0.01042243279516697, 0.18030960857868195, -0.1371585875749588, -0.02254726178944111, -0.1506797820329666, 0.0006822922732681036, -0.029819441959261894, 0.0314016155898571, -0.011291524395346642, -0.034042514860630035, -0.10603919625282288, -0.37923067808151245, -0.05724383890628815, -0.05362454429268837, 0.04232531785964966, -0.17432764172554016, -0.1112964004278183, -0.010254617780447006, -0.16741327941417694, -0.11402172595262527, 0.021226154640316963, 0.004279115237295628, -0.024543099105358124, -0.02558022551238537, 0.14661158621311188, 0.03569301962852478, -0.16076281666755676, 0.060006942600011826, 0.07819604128599167, 0.20488925278186798, 0.1760481595993042, 0.07288859784603119, 0.044412337243556976, -0.06636838614940643, 0.11438962072134018, -0.234096959233284, 0.06120864674448967, 0.12500299513339996, 0.13164757192134857, 0.11711772531270981, 0.1287699043750763, -0.1812911480665207, -0.08008433133363724, 0.22441668808460236, -0.14569693803787231, 0.1192827820777893, -0.022032905369997025, 0.0016248914180323482, 0.0021712605375796556, -0.021442972123622894, 0.1509346067905426, 0.1111321896314621, -0.045577272772789, -0.17103654146194458, 0.1364538073539734, -0.107267364859581, 0.005940055008977652, 0.03496897965669632, -0.031213857233524323, -0.1818024218082428, -0.35127323865890503, 0.024502703920006752, 0.31883442401885986, 0.11806908249855042, -0.2673089802265167, -0.053591448813676834, -0.0513933002948761, -0.11077357083559036, -0.0005790875875391066, 0.031108396127820015, -0.05235017463564873, -0.01068111788481474, -0.07629603892564774, 0.0014444381231442094, 0.20509439706802368, -0.0010328744538128376, 0.09681858122348785, 0.20894870162010193, -0.017994707450270653, -0.029593532904982567, -0.025331761687994003, 0.04737129807472229, -0.18019717931747437, -0.019691532477736473, -0.15739960968494415, -0.07889680564403534, 0.006749768741428852, -0.09688028693199158, -0.003593205939978361, 0.10650162398815155, -0.23812276124954224, 0.11825137585401535, -0.0010251052444800735, -0.057499054819345474, 0.016416799277067184, 0.05521579086780548, -0.0614023320376873, -0.023485984653234482, 0.24946880340576172, -0.2293572574853897, 0.18473875522613525, 0.1746262162923813, -0.02019323967397213, 0.10197356343269348, 0.03754618763923645, 0.11604468524456024, -0.023655874654650688, -0.043827176094055176, -0.12164509296417236, -0.09213875979185104, -0.048206355422735214, -0.07632993906736374, -0.03868616744875908, 0.03260679170489311]
2	[-0.11000438034534454, 0.1329108327627182, 0.10929852724075317, -0.09376788139343262, -0.11546643078327179, 0.047073230147361755, -0.024458177387714386, -0.060224827378988266, 0.24217839539051056, -0.03187202289700508, 0.22803620994091034, 0.0030352387111634016, -0.26133182644844055, 0.013200138695538044, 0.03812897577881813, 0.1888538897037506, -0.18793010711669922, -0.10162055492401123, -0.1312941163778305, -0.04725990444421768, -0.04506314918398857, 0.04291776195168495, 0.04913482069969177, 0.06707912683486938, -0.2379034459590912, -0.33431413769721985, -0.013119081035256386, -0.09728462994098663, 0.027654200792312622, -0.10077890753746033, 0.05449104681611061, 0.05144963413476944, -0.18232466280460358, -0.009924227371811867, 0.06295076757669449, 0.09433569759130478, -0.05485546216368675, -0.08885093033313751, 0.15487688779830933, -0.06491594761610031, -0.2660406827926636, -0.03535643592476845, 0.12136305868625641, 0.22020506858825684, 0.24480286240577698, 0.04337926208972931, 0.07887676358222961, -0.08663692325353622, 0.10165676474571228, -0.401332288980484, 0.0854165256023407, 0.10501733422279358, -0.03821944072842598, 0.07644419372081757, 0.1177791878581047, -0.1832912564277649, -0.019488302990794182, 0.15404069423675537, -0.18073217570781708, 0.09579934179782867, 0.14296571910381317, -0.023601438850164413, -0.016354387626051903, -0.03223005682229996, 0.2805909812450409, 0.12099803984165192, -0.19762927293777466, -0.18128255009651184, 0.0867355465888977, -0.20389415323734283, -0.03491485118865967, 0.14576080441474915, -0.058393850922584534, -0.22112445533275604, -0.31204953789711, 0.0357985757291317, 0.35079827904701233, 0.1819792240858078, -0.15819920599460602, 0.05040441453456879, -0.14632616937160492, 0.02683371677994728, 0.0036882120184600353, 0.08054771274328232, 0.02350945584475994, -0.0387067049741745, -0.10348565131425858, -0.006842668633908033, 0.3026910424232483, -0.04040733724832535, 0.06162396818399429, 0.36321476101875305, 0.01667744480073452, -0.0947987362742424, -0.08104206621646881, 0.11242746561765671, -0.1758253425359726, -0.02981913834810257, -0.11241403967142105, -0.06753457337617874, 0.07447241991758347, 0.07298090308904648, 0.05845002084970474, 0.11771851778030396, -0.2617745101451874, 0.22389601171016693, -0.06965380907058716, 0.017038017511367798, 0.08102097362279892, -0.01828387752175331, -0.06843151152133942, -0.07207776606082916, 0.20260167121887207, -0.31255048513412476, 0.19754540920257568, 0.15065400302410126, 0.04663650691509247, 0.11002624779939651, 0.08862524479627609, 0.0695105716586113, 0.06336817145347595, 0.010723835788667202, -0.08957475423812866, -0.05462948977947235, 0.013150491751730442, -0.11992195248603821, 0.013055042363703251, 0.04696144536137581]
3	[-0.0796281099319458, 0.13491681218147278, 0.007713917177170515, -0.11156874150037766, -0.21729792654514313, 0.040615104138851166, -0.0632433220744133, -0.10496305674314499, 0.14969809353351593, -0.11761099845170975, 0.18298113346099854, -0.0038521327078342438, -0.25105586647987366, -0.0008381670340895653, -0.036313530057668686, 0.11115191876888275, -0.2081894427537918, -0.1501838117837906, -0.13115522265434265, -0.11795978248119354, 0.037197839468717575, 0.04824525862932205, 0.030293520539999008, 0.03286033868789673, -0.1572558432817459, -0.24955476820468903, -0.07794500142335892, -0.12171730399131775, 0.05033165588974953, -0.16184629499912262, 0.08138027787208557, -0.08173056691884995, -0.17003145813941956, -0.03397859260439873, 0.012618413195014, 0.023010725155472755, -0.08415181189775467, -0.09849764406681061, 0.1862432062625885, 0.047754790633916855, -0.13798512518405914, 0.03465528041124344, 0.06765977293252945, 0.28997746109962463, 0.11571449786424637, 0.05000722408294678, 0.038559623062610626, -0.033440325409173965, 0.11303488165140152, -0.2601695954799652, 0.06487034261226654, 0.16036057472229004, 0.14324843883514404, 0.047573067247867584, 0.15766268968582153, -0.12755483388900757, 0.12194839864969254, 0.17845307290554047, -0.14329582452774048, 0.08450853824615479, 0.12694545090198517, 0.006386756431311369, 0.012712664902210236, 0.04552140459418297, 0.2766123414039612, 0.08904717862606049, -0.07370230555534363, -0.11997655779123306, 0.1001979187130928, -0.1008324846625328, -0.13647425174713135, 0.06077573075890541, -0.12574082612991333, -0.08507361263036728, -0.24877168238162994, -0.015438757836818695, 0.46832552552223206, 0.09295113384723663, -0.1543779820203781, -0.03219059109687805, -0.10204841941595078, 0.023045873269438744, 0.051090266555547714, 0.00582148227840662, -0.15039101243019104, -0.0976555198431015, -0.125422403216362, 0.04918140545487404, 0.2012673020362854, -0.04662935808300972, -0.01042642816901207, 0.19203007221221924, 0.1090075895190239, -0.079229436814785, 0.03007415309548378, -0.018290607258677483, -0.13142946362495422, -0.038463931530714035, -0.006804586388170719, -0.015737177804112434, 0.0470539927482605, -0.09780120849609375, -0.02776949293911457, 0.11875873804092407, -0.2556154131889343, 0.1132468432188034, -0.017217352986335754, -0.09595820307731628, -0.044389814138412476, 0.06024046987295151, -0.10597522556781769, -0.029667899012565613, 0.14222891628742218, -0.30791574716567993, 0.18380588293075562, 0.2429632991552353, -0.012282397598028183, 0.06952172517776489, 0.01854461431503296, 0.02291559986770153, -0.017672033980488777, 0.052230723202228546, -0.08474422991275787, -0.1559414267539978, -0.0218008104711771, -0.04513442516326904, -0.005948005709797144, 0.0223554577678442]
