person	segment
0	[[0.0, 2.72], [2.68, 5.8], [7.04, 9.8], [9.64, 11.24], [19.2, 19.92]]
1	[[0.0, 5.8], [7.04, 11.32]]
2	[[5.84, 7.0]]
3	[[5.84, 7.0]]
